id,original_question,original_answer,counterfactual_1_question,counterfactual_1_answer,counterfactual_2_question,counterfactual_2_answer,counterfactual_3_question,counterfactual_3_answer
368,"The sewers in Middleton can handle 240,000 gallons of run-off. Each hour of rain produces 1000 gallons of runoff. How many days of rain can the sewers handle before they overflow?",10,"The sewers in Middleton can handle 180,000 gallons of run-off. Each hour of rain produces 1000 gallons of runoff. How many days of rain can the sewers handle before they overflow?",7.5,"The sewers in Middleton can handle 240,000 gallons of run-off. Each hour of rain produces 2000 gallons of runoff. How many days of rain can the sewers handle before they overflow?",5,"The sewers in Middleton can handle 300,000 gallons of run-off. Each hour of rain produces 1000 gallons of runoff. How many days of rain can the sewers handle before they overflow?",12.5
369,"Lois has 40 books. She gives a fourth of her books to her nephew. From her remaining books, she donates a third of her books to the library. Then she purchases 3 new books from the book store. How many books does Lois have now?",23,"Lois has 48 books. She gives a fourth of her books to her nephew. From her remaining books, she donates a third of her books to the library. Then she purchases 3 new books from the book store. How many books does Lois have now?",27,"Lois has 40 books. She gives a fifth of her books to her nephew. From her remaining books, she donates a third of her books to the library. Then she purchases 3 new books from the book store. How many books does Lois have now?",24.33,"Lois has 40 books. She gives a fourth of her books to her nephew. From her remaining books, she donates a third of her books to the library. Then she purchases 5 new books from the book store. How many books does Lois have now?",25
370,Leila and Mohamed decided to donate their old toys to a children’s home. Leila gave 2 bags with 25 toys in each bag. Mohamed’s donation was 3 bags with 19 toys in each bag. How many more toys did Mohamed donate?,7,Leila and Mohamed decided to donate their old toys to a children’s home. Leila gave 2 bags with 20 toys in each bag. Mohamed’s donation was 3 bags with 19 toys in each bag. How many more toys did Mohamed donate?,17,Leila and Mohamed decided to donate their old toys to a children’s home. Leila gave 2 bags with 25 toys in each bag. Mohamed’s donation was 3 bags with 20 toys in each bag. How many more toys did Mohamed donate?,10,Leila and Mohamed decided to donate their old toys to a children’s home. Leila gave 3 bags with 25 toys in each bag. Mohamed’s donation was 3 bags with 19 toys in each bag. How many more toys did Mohamed donate?,-18
371,"Gina chooses what she and her sister will watch on Netflix three times as often as her sister does. If her sister watches a total of 24 shows on Netflix per week, and each show is 50 minutes long, how many minutes of Netflix does Gina get to choose?",3600.0,"Gina chooses what she and her sister will watch on Netflix twice as often as her sister does. If her sister watches a total of 24 shows on Netflix per week, and each show is 50 minutes long, how many minutes of Netflix does Gina get to choose?",2400.0,"Gina chooses what she and her sister will watch on Netflix three times as often as her sister does. If her sister watches a total of 20 shows on Netflix per week, and each show is 50 minutes long, how many minutes of Netflix does Gina get to choose?",750,"Gina chooses what she and her sister will watch on Netflix three times as often as her sister does. If her sister watches a total of 24 shows on Netflix per week, and each show is 60 minutes long, how many minutes of Netflix does Gina get to choose?",4320.0
372,"Kirt has a $6000 monthly salary when he started his job. After a year of working, his salary increased by 30%. How much are his total earnings after 3 years?",259200,"Kirt has a $5000 monthly salary when he started his job. After a year of working, his salary increased by 30%. How much are his total earnings after 3 years?",216000,"Kirt has a $6000 monthly salary when he started his job. After a year of working, his salary increased by 20%. How much are his total earnings after 3 years?",244800.0,"Kirt has a $6000 monthly salary when he started his job. After a year of working, his salary increased by 30%. How much are his total earnings after 2 years?",165600.0
373,A single kabob stick has 4 cubes of beef. A slab of beef that costs $25 can be cut into 80 cubes. How much must Simon spend to make 40 kabob sticks?,50,A single kabob stick has 5 cubes of beef. A slab of beef that costs $25 can be cut into 80 cubes. How much must Simon spend to make 40 kabob sticks?,62.5,A single kabob stick has 4 cubes of beef. A slab of beef that costs $30 can be cut into 80 cubes. How much must Simon spend to make 40 kabob sticks?,60,A single kabob stick has 4 cubes of beef. A slab of beef that costs $25 can be cut into 100 cubes. How much must Simon spend to make 40 kabob sticks?,40
374,"Mark wants to tip his server 20% on a $200 check. If his friend agrees to kick in $10, how much should Mark add?",30,"Mark wants to tip his server 15% on a $200 check. If his friend agrees to kick in $10, how much should Mark add?",20,"Mark wants to tip his server 20% on a $150 check. If his friend agrees to kick in $10, how much should Mark add?",20,"Mark wants to tip his server 25% on a $200 check. If his friend agrees to kick in $10, how much should Mark add?",40
375,"In a truck, there are 26 pink hard hats, 15 green hard hats, and 24 yellow hard hats.  If Carl takes away 4 pink hard hats, and John takes away 6 pink hard hats and twice as many green hard hats as the number of pink hard hats that he removed, then calculate the total number of hard hats that remained in the truck.",43,"In a truck, there are 30 pink hard hats, 15 green hard hats, and 24 yellow hard hats. If Carl takes away 4 pink hard hats, and John takes away 6 pink hard hats and twice as many green hard hats as the number of pink hard hats that he removed, then calculate the total number of hard hats that remained in the truck.",47,"In a truck, there are 26 pink hard hats, 20 green hard hats, and 24 yellow hard hats. If Carl takes away 4 pink hard hats, and John takes away 6 pink hard hats and twice as many green hard hats as the number of pink hard hats that he removed, then calculate the total number of hard hats that remained in the truck.",48,"In a truck, there are 26 pink hard hats, 15 green hard hats, and 24 yellow hard hats. If Carl takes away 5 pink hard hats, and John takes away 5 pink hard hats and twice as many green hard hats as the number of pink hard hats that he removed, then calculate the total number of hard hats that remained in the truck.",45.0
376,"In a spelling contest held in her school, Drew got 20 questions correct, winning her the competition. She got six questions wrong, and her competitor Carla got 14 questions correct, and twice as many questions wrong as the number of questions Drew got wrong. If each competitor was asked a different question, how many questions were asked in the competition?",52,"In a spelling contest held in her school, Drew got 18 questions correct, winning her the competition. She got six questions wrong, and her competitor Carla got 15 questions correct, and twice as many questions wrong as the number of questions Drew got wrong. If each competitor was asked a different question, how many questions were asked in the competition?",51,"In a spelling contest held in her school, Drew got 20 questions correct, winning her the competition. She got five questions wrong, and her competitor Carla got 14 questions correct, and twice as many questions wrong as the number of questions Drew got wrong. If each competitor was asked a different question, how many questions were asked in the competition?",49.0,"In a spelling contest held in her school, Drew got 20 questions correct, winning her the competition. She got six questions wrong, and her competitor Carla got 16 questions correct, and twice as many questions wrong as the number of questions Drew got wrong. If each competitor was asked a different question, how many questions were asked in the competition?",54
377,"Kalani has twenty candles in her bedroom, twice the number of candles in the living room. Donovan, her brother, brings in 20 more candles he bought from the candle shop. What's the total number of candles in the house?",50,"Kalani has twenty-four candles in her bedroom, twice the number of candles in the living room. Donovan, her brother, brings in 20 more candles he bought from the candle shop. What's the total number of candles in the house?",56,"Kalani has twenty candles in her bedroom, twice the number of candles in the living room. Donovan, her brother, brings in 10 more candles he bought from the candle shop. What's the total number of candles in the house?",40,"Kalani has twenty candles in her bedroom, three times the number of candles in the living room. Donovan, her brother, brings in 20 more candles he bought from the candle shop. What's the total number of candles in the house?",46.67
378,A basketball team won 35 out of the 50 games that they have played. They still have 25 games left to play for the season. How many of the remaining games must they win so that their percentage of wins in the entire season is 64%?,13,A basketball team won 30 out of the 50 games that they have played. They still have 25 games left to play for the season. How many of the remaining games must they win so that their percentage of wins in the entire season is 64%?,18,A basketball team won 35 out of the 50 games that they have played. They still have 20 games left to play for the season. How many of the remaining games must they win so that their percentage of wins in the entire season is 64%?,11,A basketball team won 35 out of the 50 games that they have played. They still have 25 games left to play for the season. How many of the remaining games must they win so that their percentage of wins in the entire season is 60%?,10
379,John decided to sell his PlayStation to buy a new computer.  The computer's cost was $700 and the accessories cost was $200.  The PlayStation was worth $400 but he sold it for 20% less than its value.  How much money came out of his pocket?,580,John decided to sell his PlayStation to buy a new computer. The computer's cost was $700 and the accessories cost was $200. The PlayStation was worth $400 but he sold it for 25% less than its value. How much money came out of his pocket?,600,John decided to sell his PlayStation to buy a new computer. The computer's cost was $800 and the accessories cost was $200. The PlayStation was worth $400 but he sold it for 20% less than its value. How much money came out of his pocket?,680,John decided to sell his PlayStation to buy a new computer. The computer's cost was $700 and the accessories cost was $150. The PlayStation was worth $400 but he sold it for 20% less than its value. How much money came out of his pocket?,530
380,Steph needs to cook fried chicken for the kid's party. She bought 24 pieces of drumstick and 4 fewer breast parts. How many fried chickens can Steph make?,44,Steph needs to cook fried chicken for the kid's party. She bought 20 pieces of drumstick and 4 fewer breast parts. How many fried chickens can Steph make?,36,Steph needs to cook fried chicken for the kid's party. She bought 24 pieces of drumstick and 6 fewer breast parts. How many fried chickens can Steph make?,42,Steph needs to cook fried chicken for the kid's party. She bought 30 pieces of drumstick and 4 fewer breast parts. How many fried chickens can Steph make?,56
381,Latia wants to buy a Samsung TV worth $1700. She works for a delivery service company for a month earning $10 per hour for a 30-hour workweek. How many more hours does she have to work to buy the TV?,50,Latia wants to buy a Samsung TV worth $1800. She works for a delivery service company for a month earning $10 per hour for a 30-hour workweek. How many more hours does she have to work to buy the TV?,60,Latia wants to buy a Samsung TV worth $1700. She works for a delivery service company for a month earning $12 per hour for a 30-hour workweek. How many more hours does she have to work to buy the TV?,22.0,Latia wants to buy a Samsung TV worth $1500. She works for a delivery service company for a month earning $10 per hour for a 30-hour workweek. How many more hours does she have to work to buy the TV?,30
382,Wyatt's mother gave him $74 to go to the store. Wyatt bought 5 loaves of bread and 4 cartons of orange juice. Each loaf of bread cost $5 and each carton of orange juice cost $2. How much money does Wyatt have left?,41,Wyatt's mother gave him $70 to go to the store. Wyatt bought 5 loaves of bread and 4 cartons of orange juice. Each loaf of bread cost $5 and each carton of orange juice cost $2. How much money does Wyatt have left?,37,Wyatt's mother gave him $74 to go to the store. Wyatt bought 6 loaves of bread and 4 cartons of orange juice. Each loaf of bread cost $5 and each carton of orange juice cost $2. How much money does Wyatt have left?,36,Wyatt's mother gave him $74 to go to the store. Wyatt bought 5 loaves of bread and 4 cartons of orange juice. Each loaf of bread cost $6 and each carton of orange juice cost $2. How much money does Wyatt have left?,36
383,"Peggy buys 3 folders, one each in the colors red, green, and blue.  She puts ten sheets of paper in each folder, and then, she puts star-shaped stickers on each sheet of paper.  In the red folder, each sheet of paper gets 3 stickers.  In the green folder, each sheet of paper gets 2 stickers, and in the blue folder, each sheet gets 1 sticker.  What is the total number of stickers Peggy uses?",60,"Peggy buys 3 folders, one each in the colors red, green, and blue. She puts twelve sheets of paper in each folder, and then, she puts star-shaped stickers on each sheet of paper. In the red folder, each sheet of paper gets 3 stickers. In the green folder, each sheet of paper gets 2 stickers, and in the blue folder, each sheet gets 1 sticker. What is the total number of stickers Peggy uses?",72,"Peggy buys 3 folders, one each in the colors red, green, and blue. She puts ten sheets of paper in each folder, and then, she puts star-shaped stickers on each sheet of paper. In the red folder, each sheet of paper gets 4 stickers. In the green folder, each sheet of paper gets 2 stickers, and in the blue folder, each sheet gets 1 sticker. What is the total number of stickers Peggy uses?",70,"Peggy buys 3 folders, one each in the colors red, green, and blue. She puts ten sheets of paper in each folder, and then, she puts star-shaped stickers on each sheet of paper. In the red folder, each sheet of paper gets 3 stickers. In the green folder, each sheet of paper gets 3 stickers, and in the blue folder, each sheet gets 1 sticker. What is the total number of stickers Peggy uses?",70
384,"Debby and Maggie agreed to share a sum of money so that Debby takes 25% and Maggie takes the rest. If Maggie's share is $4,500, how much did they share?",6000,"Debby and Maggie agreed to share a sum of money so that Debby takes 20% and Maggie takes the rest. If Maggie's share is $4,800, how much did they share?",6000,"Debby and Maggie agreed to share a sum of money so that Debby takes 25% and Maggie takes the rest. If Maggie's share is $5,250, how much did they share?",7000,"Debby and Maggie agreed to share a sum of money so that Debby takes 30% and Maggie takes the rest. If Maggie's share is $4,200, how much did they share?",6000
385,"Harold makes $2500.00 a month from his job. His rent is $700.00, his car payment is $300.00, his utilities cost 1/2 the amount of his car payment and he spends $50.00 on groceries.  He wants to put half of the remaining money into a retirement account.  How much money will that leave him?",650,"Harold makes $2500.00 a month from his job. His rent is $800.00, his car payment is $300.00, his utilities cost 1/2 the amount of his car payment and he spends $50.00 on groceries. He wants to put half of the remaining money into a retirement account. How much money will that leave him?",600,"Harold makes $2600.00 a month from his job. His rent is $700.00, his car payment is $300.00, his utilities cost 1/2 the amount of his car payment and he spends $50.00 on groceries. He wants to put half of the remaining money into a retirement account. How much money will that leave him?",700,"Harold makes $2500.00 a month from his job. His rent is $700.00, his car payment is $400.00, his utilities cost 1/2 the amount of his car payment and he spends $50.00 on groceries. He wants to put half of the remaining money into a retirement account. How much money will that leave him?",575.0
386,"Millie, Monica, and Marius are taking subjects for school. Millie takes three more subjects than Marius, who takes 4 subjects more than Monica. If Monica took 10 subjects, how many subjects all take altogether?",41,"Millie, Monica, and Marius are taking subjects for school. Millie takes two more subjects than Marius, who takes 4 subjects more than Monica. If Monica took 10 subjects, how many subjects all take altogether?",40.0,"Millie, Monica, and Marius are taking subjects for school. Millie takes three more subjects than Marius, who takes 5 subjects more than Monica. If Monica took 10 subjects, how many subjects all take altogether?",43,"Millie, Monica, and Marius are taking subjects for school. Millie takes three more subjects than Marius, who takes 4 subjects more than Monica. If Monica took 12 subjects, how many subjects all take altogether?",47
387,There are 3 numbers that are consecutive integers. Together they have a sum of 18. What is the largest of the 3 numbers?,7,There are 3 numbers that are consecutive integers. Together they have a sum of 21. What is the largest of the 3 numbers?,8,There are 3 numbers that are consecutive integers. Together they have a sum of 15. What is the largest of the 3 numbers?,6,There are 5 numbers that are consecutive integers. Together they have a sum of 25. What is the largest of the 5 numbers?,7
388,"As Dan is learning to screen-print t-shirts to sell at the craft fair, he makes t-shirts, over the first hour, at the rate of one every 12 minutes. Then, in the second hour, he makes one at the rate of every 6 minutes. How many t-shirts does he make over the course of those two hours?",15,"As Dan is learning to screen-print t-shirts to sell at the craft fair, he makes t-shirts, over the first hour, at the rate of one every 10 minutes. Then, in the second hour, he makes one at the rate of every 6 minutes. How many t-shirts does he make over the course of those two hours?",16,"As Dan is learning to screen-print t-shirts to sell at the craft fair, he makes t-shirts, over the first hour, at the rate of one every 12 minutes. Then, in the second hour, he makes one at the rate of every 8 minutes. How many t-shirts does he make over the course of those two hours?",12.5,"As Dan is learning to screen-print t-shirts to sell at the craft fair, he makes t-shirts, over the first hour, at the rate of one every 15 minutes. Then, in the second hour, he makes one at the rate of every 5 minutes. How many t-shirts does he make over the course of those two hours?",16
389,"48 children are trying to share a pack of sweets. After taking 4 sweets each, there is still a third of the original amount left. What is the original number of sweets in the pack?",288,"48 children are trying to share a pack of sweets. After taking 5 sweets each, there is still a third of the original amount left. What is the original number of sweets in the pack?",360,"48 children are trying to share a pack of sweets. After taking 4 sweets each, there is still a quarter of the original amount left. What is the original number of sweets in the pack?",256,"60 children are trying to share a pack of sweets. After taking 4 sweets each, there is still a third of the original amount left. What is the original number of sweets in the pack?",360
390,"The toothpaste in Anne's family's bathroom contains 105 grams. Anne's dad uses 3 grams at each brushing, her mom uses 2 grams, Anne and her brother use 1 gram each. Each member of the family brushes their teeth three times a day. How many days will it take for the toothpaste to run out?",5,"The toothpaste in Anne's family's bathroom contains 120 grams. Anne's dad uses 3 grams at each brushing, her mom uses 2 grams, Anne and her brother use 1 gram each. Each member of the family brushes their teeth three times a day. How many days will it take for the toothpaste to run out?",5.71,"The toothpaste in Anne's family's bathroom contains 105 grams. Anne's dad uses 2 grams at each brushing, her mom uses 2 grams, Anne and her brother use 1 gram each. Each member of the family brushes their teeth three times a day. How many days will it take for the toothpaste to run out?",6,"The toothpaste in Anne's family's bathroom contains 105 grams. Anne's dad uses 3 grams at each brushing, her mom uses 3 grams, Anne and her brother use 1 gram each. Each member of the family brushes their teeth three times a day. How many days will it take for the toothpaste to run out?",4
391,"Miss Walter has 50 gold stickers. She also has twice as many silver stickers as gold stickers, and 20 fewer bronze stickers than silver stickers.  She wants to give the same number of stickers to each of her 5 students. How many stickers will each student receive?",46,"Miss Walter has 60 gold stickers. She also has twice as many silver stickers as gold stickers, and 20 fewer bronze stickers than silver stickers. She wants to give the same number of stickers to each of her 5 students. How many stickers will each student receive?",56.0,"Miss Walter has 50 gold stickers. She also has twice as many silver stickers as gold stickers, and 30 fewer bronze stickers than silver stickers. She wants to give the same number of stickers to each of her 5 students. How many stickers will each student receive?",44,"Miss Walter has 50 gold stickers. She also has one and a half times as many silver stickers as gold stickers, and 20 fewer bronze stickers than silver stickers. She wants to give the same number of stickers to each of her 5 students. How many stickers will each student receive?",36.0
392,Whitney bought 9 books about whales and 7 books about fish. She also bought 3 magazines. Each book cost $11 and each magazine cost $1. How much did Whitney spend in all?,179,Whitney bought 10 books about whales and 7 books about fish. She also bought 3 magazines. Each book cost $11 and each magazine cost $1. How much did Whitney spend in all?,190,Whitney bought 9 books about whales and 7 books about fish. She also bought 5 magazines. Each book cost $11 and each magazine cost $1. How much did Whitney spend in all?,181,Whitney bought 9 books about whales and 7 books about fish. She also bought 3 magazines. Each book cost $12 and each magazine cost $1. How much did Whitney spend in all?,195.0
393,"Mia has 4 times as many shells as David. Ava has 20 more shells than Mia. Alice has half the number of shells Ava has. If David has 15 shells, what the total number of conch shells they all have?",195,"Mia has 3 times as many shells as David. Ava has 20 more shells than Mia. Alice has half the number of shells Ava has. If David has 15 shells, what the total number of conch shells they all have?",157.5,"Mia has 4 times as many shells as David. Ava has 25 more shells than Mia. Alice has half the number of shells Ava has. If David has 15 shells, what the total number of conch shells they all have?",202.5,"Mia has 4 times as many shells as David. Ava has 20 more shells than Mia. Alice has the same number of shells as Ava. If David has 15 shells, what the total number of conch shells they all have?",235
394,Kat decides she wants to start a boxing career.  She gets a gym membership and spends 1 hour in the gym 3 times a week doing strength training.  She also trained at the boxing gym 4 times a week for 1.5 hours.  How many hours a week does she train?,9,Kat decides she wants to start a boxing career. She gets a gym membership and spends 1 hour in the gym 3 times a week doing strength training. She also trained at the boxing gym 3 times a week for 1.5 hours. How many hours a week does she train?,7.5,Kat decides she wants to start a boxing career. She gets a gym membership and spends 2 hours in the gym 3 times a week doing strength training. She also trained at the boxing gym 4 times a week for 1.5 hours. How many hours a week does she train?,12,Kat decides she wants to start a boxing career. She gets a gym membership and spends 1 hour in the gym 3 times a week doing strength training. She also trained at the boxing gym 5 times a week for 1.5 hours. How many hours a week does she train?,10.5
395,"A football team shares a single water cooler during practice.  During practice, linemen get the first water break and will drink 8 ounces each.  Skill position players get the second water break and drink 6 ounces each.  The team has 12 linemen and 10 skill position players.  If the cooler holds 126 ounces of water, how many skill position players must wait for the cooler to be refilled before they can get a drink?",5,"A football team shares a single water cooler during practice. During practice, linemen get the first water break and will drink 8 ounces each. Skill position players get the second water break and drink 6 ounces each. The team has 10 linemen and 10 skill position players. If the cooler holds 126 ounces of water, how many skill position players must wait for the cooler to be refilled before they can get a drink?",3,"A football team shares a single water cooler during practice. During practice, linemen get the first water break and will drink 8 ounces each. Skill position players get the second water break and drink 6 ounces each. The team has 12 linemen and 8 skill position players. If the cooler holds 126 ounces of water, how many skill position players must wait for the cooler to be refilled before they can get a drink?",3.0,"A football team shares a single water cooler during practice. During practice, linemen get the first water break and will drink 7 ounces each. Skill position players get the second water break and drink 6 ounces each. The team has 12 linemen and 10 skill position players. If the cooler holds 126 ounces of water, how many skill position players must wait for the cooler to be refilled before they can get a drink?",3
396,"A family had 10 eggs, but the mother used 5 of them to make an omelet. Then, 2 chickens laid 3 eggs each. How many eggs does the family have now?",11,"A family had 12 eggs, but the mother used 5 of them to make an omelet. Then, 2 chickens laid 3 eggs each. How many eggs does the family have now?",13,"A family had 10 eggs, but the mother used 4 of them to make an omelet. Then, 2 chickens laid 3 eggs each. How many eggs does the family have now?",12,"A family had 10 eggs, but the mother used 5 of them to make an omelet. Then, 3 chickens laid 3 eggs each. How many eggs does the family have now?",14
397,"Two months ago, Wilson had a total of $150 in his bank account. Then last month, he deposited $17. A few days after, he made a withdrawal. This month, he deposited $21 so he has $16 more than what is in his account two months ago. How much did Wilson withdraw last month?",22,"Two months ago, Wilson had a total of $150 in his bank account. Then last month, he deposited $17. A few days after, he made a withdrawal. This month, he deposited $25 so he has $20 more than what is in his account two months ago. How much did Wilson withdraw last month?",22,"Two months ago, Wilson had a total of $150 in his bank account. Then last month, he deposited $20. A few days after, he made a withdrawal. This month, he deposited $21 so he has $19 more than what is in his account two months ago. How much did Wilson withdraw last month?",22,"Two months ago, Wilson had a total of $150 in his bank account. Then last month, he deposited $17. A few days after, he made a withdrawal. This month, he deposited $21 so he has $10 more than what is in his account two months ago. How much did Wilson withdraw last month?",28
398,Salvadore earned $1956. Santo earned half of what Salvadore earned. How much money did the two men earn together?,2934,Salvadore earned $1800. Santo earned half of what Salvadore earned. How much money did the two men earn together?,2700,Salvadore earned $1956. Santo earned a third of what Salvadore earned. How much money did the two men earn together?,2608,Salvadore earned $2000. Santo earned two-thirds of what Salvadore earned. How much money did the two men earn together?,3333.33
399,"Every time Janet folds her blanket its thickness doubles. If it starts out 3 inches thick, how thick will it be after 4 foldings?",48,"Every time Janet folds her blanket its thickness doubles. If it starts out 2 inches thick, how thick will it be after 4 foldings?",32,"Every time Janet folds her blanket its thickness doubles. If it starts out 3 inches thick, how thick will it be after 3 foldings?",24,"Every time Janet folds her blanket its thickness triples. If it starts out 3 inches thick, how thick will it be after 3 foldings?",81
400,Chloe and Max played Mario Kart together. The ratio of Chloe’s wins to Max’s wins is 8:3. Chloe won 24 times. How many times did Max win?,9,Chloe and Max played Mario Kart together. The ratio of Chloe’s wins to Max’s wins is 6:3. Chloe won 24 times. How many times did Max win?,12,Chloe and Max played Mario Kart together. The ratio of Chloe’s wins to Max’s wins is 8:4. Chloe won 24 times. How many times did Max win?,12,Chloe and Max played Mario Kart together. The ratio of Chloe’s wins to Max’s wins is 10:3. Chloe won 20 times. How many times did Max win?,6
401,"A shopping center sells T-shirts at $8 each, a sweater at $18,  and a jacket at $80. The jacket is on sale with a 10% discount. The sales tax is 5%.  Kevin wants to buy six T-shirts, four sweaters, and five jackets for his children. How much does Kevin have to pay for all the items, including the sales tax?",504,"A shopping center sells T-shirts at $8 each, a sweater at $18,  and a jacket at $80. The jacket is on sale with a 20% discount. The sales tax is 5%.  Kevin wants to buy six T-shirts, four sweaters, and five jackets for his children. How much does Kevin have to pay for all the items, including the sales tax?",462.0,"A shopping center sells T-shirts at $9 each, a sweater at $18, and a jacket at $80. The jacket is on sale with a 10% discount. The sales tax is 5%. Kevin wants to buy six T-shirts, four sweaters, and five jackets for his children. How much does Kevin have to pay for all the items, including the sales tax?",510.3,"A shopping center sells T-shirts at $8 each, a sweater at $18, and a jacket at $80. The jacket is on sale with a 10% discount. The sales tax is 8%. Kevin wants to buy six T-shirts, four sweaters, and five jackets for his children. How much does Kevin have to pay for all the items, including the sales tax?",518.4
402,"Mark wants to set the record for most consecutive ropes jumped.  The record is 54,000.  He can jump 3 times a second.  How many hours would he need to jump rope?",5,"Mark wants to set the record for most consecutive ropes jumped. The record is 36,000. He can jump 3 times a second. How many hours would he need to jump rope?",3.33,"Mark wants to set the record for most consecutive ropes jumped. The record is 54,000. He can jump 4 times a second. How many hours would he need to jump rope?",3.75,"Mark wants to set the record for most consecutive ropes jumped. The record is 60,000. He can jump 2 times a second. How many hours would he need to jump rope?",8.33
403,"Every day, Lou works out by running three miles on a circular track that is one-quarter of a mile long.  His wife, Rosie, also runs on the same track at the same time as her husband, but she runs at twice the speed of her husband.  During their workout, how many times does Rosie circle the track?",24,"Every day, Lou works out by running four miles on a circular track that is one-quarter of a mile long. His wife, Rosie, also runs on the same track at the same time as her husband, but she runs at twice the speed of her husband. During their workout, how many times does Rosie circle the track?",32,"Every day, Lou works out by running three miles on a circular track that is one-fifth of a mile long. His wife, Rosie, also runs on the same track at the same time as her husband, but she runs at twice the speed of her husband. During their workout, how many times does Rosie circle the track?",30,"Every day, Lou works out by running three miles on a circular track that is one-quarter of a mile long. His wife, Rosie, also runs on the same track at the same time as her husband, but she runs at three times the speed of her husband. During their workout, how many times does Rosie circle the track?",36
404,"Jasmine swims 12 laps every afternoon, Monday through Friday. How many laps does she swim in five weeks?",300,"Jasmine swims 10 laps every afternoon, Monday through Friday. How many laps does she swim in five weeks?",250,"Jasmine swims 12 laps every afternoon, Monday through Saturday. How many laps does she swim in five weeks?",360,"Jasmine swims 12 laps every afternoon, Monday through Friday. How many laps does she swim in four weeks?",240
405,Grant has worked as a freelance math worker for the last three months.  The first month he made 350$.  The second month he made 50$ more than double he made the first month.  The third month he quadrupled the sum of the first two months.  How much did Grant make in his first three months total?,5500,Grant has worked as a freelance math worker for the last three months. The first month he made 400$. The second month he made 50$ more than double he made the first month. The third month he quadrupled the sum of the first two months. How much did Grant make in his first three months total?,6250.0,Grant has worked as a freelance math worker for the last three months. The first month he made 350$. The second month he made 100$ more than double he made the first month. The third month he quadrupled the sum of the first two months. How much did Grant make in his first three months total?,5750.0,Grant has worked as a freelance math worker for the last three months. The first month he made 350$. The second month he made 50$ more than double he made the first month. The third month he tripled the sum of the first two months. How much did Grant make in his first three months total?,4400.0
406,"Andy works in the pro shop at a tennis resort, where he earns $9 an hour. In addition to this, he gets paid $15 for each racquet he restrings, $10 for changing out the grommets on a racquet, and $1 for painting a stencil on the racquet strings. How much does he earn (before taxes) during an 8-hour shift if he strings 7 racquets, changes 2 sets of grommets, and paints 5 stencils?",202,"Andy works in the pro shop at a tennis resort, where he earns $9 an hour. In addition to this, he gets paid $15 for each racquet he restrings, $10 for changing out the grommets on a racquet, and $1 for painting a stencil on the racquet strings. How much does he earn (before taxes) during an 8-hour shift if he strings 6 racquets, changes 2 sets of grommets, and paints 5 stencils?",187,"Andy works in the pro shop at a tennis resort, where he earns $10 an hour. In addition to this, he gets paid $15 for each racquet he restrings, $10 for changing out the grommets on a racquet, and $1 for painting a stencil on the racquet strings. How much does he earn (before taxes) during an 8-hour shift if he strings 7 racquets, changes 2 sets of grommets, and paints 5 stencils?",210,"Andy works in the pro shop at a tennis resort, where he earns $9 an hour. In addition to this, he gets paid $15 for each racquet he restrings, $12 for changing out the grommets on a racquet, and $1 for painting a stencil on the racquet strings. How much does he earn (before taxes) during an 8-hour shift if he strings 7 racquets, changes 2 sets of grommets, and paints 5 stencils?",206
407,"Out of the 500 marbles that Cindy had, she gave her four friends 80 marbles each. What's four times the number of marbles she has remaining?",720,"Out of the 600 marbles that Cindy had, she gave her four friends 80 marbles each. What's four times the number of marbles she has remaining?",1120.0,"Out of the 500 marbles that Cindy had, she gave her four friends 70 marbles each. What's four times the number of marbles she has remaining?",880.0,"Out of the 500 marbles that Cindy had, she gave her five friends 80 marbles each. What's four times the number of marbles she has remaining?",400
408,Gary has 30 grams of gold that cost $15 per gram. Anna has 50 grams of gold for the cost of $20 per gram. How much is the cost of their gold combined?,1450,Gary has 30 grams of gold that cost $18 per gram. Anna has 50 grams of gold for the cost of $20 per gram. How much is the cost of their gold combined?,1540.0,Gary has 40 grams of gold that cost $15 per gram. Anna has 50 grams of gold for the cost of $20 per gram. How much is the cost of their gold combined?,1600.0,Gary has 30 grams of gold that cost $15 per gram. Anna has 40 grams of gold for the cost of $20 per gram. How much is the cost of their gold combined?,1250.0
409,"A man is returning home from work and trying to decide which route to take.  His first route option includes 3 stoplights.  This route will take him 10 minutes if all three lights are green, but each light that is red will add 3 minutes to the trip.  The second route does not include any stoplights and takes 14 minutes.  If the man chooses the first route, how much longer will his trip be if all 3 stoplights are red?",5,"A man is returning home from work and trying to decide which route to take. His first route option includes 4 stoplights. This route will take him 10 minutes if all four lights are green, but each light that is red will add 3 minutes to the trip. The second route does not include any stoplights and takes 14 minutes. If the man chooses the first route, how much longer will his trip be if all 4 stoplights are red?",8,"A man is returning home from work and trying to decide which route to take. His first route option includes 3 stoplights. This route will take him 12 minutes if all three lights are green, but each light that is red will add 3 minutes to the trip. The second route does not include any stoplights and takes 14 minutes. If the man chooses the first route, how much longer will his trip be if all 3 stoplights are red?",7,"A man is returning home from work and trying to decide which route to take. His first route option includes 3 stoplights. This route will take him 10 minutes if all three lights are green, but each light that is red will add 2 minutes to the trip. The second route does not include any stoplights and takes 14 minutes. If the man chooses the first route, how much longer will his trip be if all 3 stoplights are red?",2
