id,Premise,Hypothesis,gold_label,Explanation
642,Blond mother holding her child in her arms at the aquarium.,A person holding a child.,entailment,a mother is a person.
643,A scientist really deep into his experiment.,A scientist holds a beaker.,neutral,A scientist doesn't have to be holding a beaker to be deep into his experiment.
644,"A woman is holding a toy snake, she is on stage with a guy speaking through a microphone, and a man in clown makeup holding a guitar.",The people are on the stage.,entailment,"A woman, guy, and a man are all types of people, since it is established that she is on the stage, that the guy and man are listed with her implies they are also on the stage."
645,A man sitting on a bed focusing on something on his lap with a wall full of paper butterflies behind him.,The wall is plain blue.,contradiction,"If the wall is full of paper butterflies, it cannot be plain."
646,Man cutting into a piece of meat with a fork and knife.,A man is using kitchen utensils.,entailment,A man is using kitchen utensils so he must be cutting into meat with a fork and knife.
647,Three ladies are conducting scientific research.,three men are making pancakes,contradiction,Is it three men making pancakes or three ladies conducting scientific research
648,A woman standing in a red bikini on a outdoor sand volleyball court.,A woman standing in a blue bikini on a court.,contradiction,A red bikini is different than a blue bikini.
649,An official man walking two twin girls across a street.,A dog is walking across the river.,contradiction,Either can be a man or a dog crossing and you cannot cross street and river at the same time.
650,A group of people walk up a sloping trail lined with trees.,The bird watching group walks up the trail looking for the nesting birds.,neutral,A group of people doesn't always mean bird watching group
651,"A young boy is walking on what seems to be a chilly day, though the path he's on seems to disappear into a sea of green grass.",the boy is on his way to the market,neutral,path  doesn't always mean way to the market
652,A female gymnast wearing a red leotard on a balance beam with arms raised over her head.,The gymnast has been training for years.,neutral,not all gymnast are training for years
653,A man is panting a piece of wood.,A man is painting.,entailment,A man is painting on a piece of wood
654,Two woman are reviewing a paper.,Two sisters read the paper.,neutral,People can look at the paper and now read it.
655,Blond-haired toddler boy explores a traffic cone.,A young boy is with a cone shaped object.,entailment,"The boy is exploring a traffic cone, which is a cone shaped object."
656,Two men that are in a match with one another.,two men kill eachother,contradiction,It is not likely that the two men in a match will kill eachother.
657,The back of a woman's head on a train.,The woman is not on a trian.,contradiction,The woman's head cannot be on a train if the woman is not on a train.
658,Several cheerleaders are posing and performing a stunt,Several people are taking a test in a classroom,contradiction,People in general should not imply cheerleaders
659,A boy kicks a soccer ball outside of a hotel.,A boy kicks a rock.,contradiction,A soccer ball is not a rock.
660,A child gets her face painted by a older woman.,The child gets a balloon animal made by the old lady.,contradiction,Getting a  face painted is different than getting an animal made.
661,Middle-aged woman in a sweater and white apron is using a spinning wheel with a second spinning wheel in the foreground.,A woman uses a crochet hook.,contradiction,A crochet hook is not the same as a spinning wheel.
662,A drummer playing a red drum set.,The drums are blue.,contradiction,The drums cannot be red and blue. One or the other.
663,"There is a hand in front of a red, green, white, and black flag.",The flag is black,contradiction,Black and red are different.
664,a group of people inside a building that overlooks a large mountain,The people are on vacation visiting a national landmark,neutral,People can be in a building and on not be on vacation.
665,A man casually sits on a chair and talks on the cellphone as there is a bus in the background.,man eating fish,contradiction,The man can't be eating fish while he talks on the cellphone.
666,Street performers being watched by an interested crowd.,People are watching the entertainers.,entailment,"The crowd is no more than a gathering of people, and street performers can be rightly referred to as entertainers."
667,A group of four friends are drinking alcohol at a party.,A group of 4 is drinking margaritas.,neutral,Drinking alcohol doesn't mean you are drinking margaritas.
668,"The Whatcom Warrior's Goalie is focused on the puck, in front of the goal post.",The goalie is standing near the goal.,entailment,"""In front of the goal post"" is a rephrasing of ""standing near the goal."""
669,A group of tourists aboard a small and colorful boat in the waters of a Southeast Asian country.,The tourists are outdoors.,entailment,waters almost the same as  outdoors.
670,A black dog leaps through the snow near a fence.,A black dog runs outside.,entailment,Snow is outside.
671,A woman is walking her baby with a stroller at the local park.,The man and his friend are at the game.,contradiction,It is either a man or a woman.
672,Two toddles play in a colorful padded play area.,The toddlers are related to each other.,neutral,There is no reason to assume that the toddlers are related to each other.
673,A couple embracing while standing in a shaft of light.,they were married,neutral,You can not infer there are married.
674,"A man sits on a beach wearing swim trunks and a lei, holding a blue umbrella over his head.",it is cold,contradiction,One does not sit at the beach while it is cold.
675,"The go-cart driver is making a turn, while the red uniform matches the red car.",A go kart driver is in a red car,entailment,A go-cart driver and a go kart driver are the same both in a red car.
676,Two girls play outside with chalk.,Some girls are drawing a tic-tac-toe board on the pavement.,neutral,Just because Two girls play outside with chalk does not mean that they are drawing a tic-tac-toe board on the pavement
677,Man working with metal and a burning fire at his side.,A man working near a fire sculpting metal.,neutral,Not all metal is sculpting metal.
678,Young Indian children are gathered around a laptop computer.,the children are learning about computer programs,neutral,They may not be learning programs
679,A man reading a newspaper is leaning up against a purple wall with graffiti.,A man is sleeping.,contradiction,Someone who is reading a newspaper and leaning up on something is awake and performing an activity; while someone sleeping is neither awake nor performing an activity.
680,Men in uniforms talking in front of a building.,Employees talking as they leave a furniture store.,neutral,Men in uniforms aren't necessarily employees.  Not all buildings are a furniture store.
681,hockey match with two guys fighting,The homemaker is washing the dishes.,contradiction,The two guys can't be fighting if the homemaker is washing dishes.
682,Indian shop vendor working during the day.,An Indian shop vendor is works nights.,contradiction,A vendor who works nights doesn't do so during the day.
683,A child is playing in the sand.,A kid is playing in the sand.,entailment,A child is a kid.
684,"A group of children that are either sitting or standing in a line, while two are holding a round object.","A group of children are in a circle, while some are holding a round object.",contradiction,Being in a circle is not being in a line.
685,A man and a woman standing on a street corner.,two people on a street corner,entailment,' standing on a street ' is a rephrasing of  ' on a street '.
686,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",The man was clean shaven.,contradiction,One with a beard is not clean shaven.
687,Three men at work standing along a wall.,The men are at lunch,neutral,The men aren't necessarily at lunch just because they are standing along a wall.
688,A lady is at a bowling alley and throwing a red ball and there is a lady on the projector screen.,The lady is playing bowling.,entailment,If a lady is at a bowling alley and throwing a red ball she is playing bowling.
689,Two young women pull out their pocketbooks to pay their waitress.,The women are paying for coffee.,neutral,Just because the women pay a waitress does not mean the women are paying for coffee.
690,A man is looking out of a bus window.,the man is a traveller,neutral,"One who is not traveller, liker driver, too can look out of window"
691,A man holds his young daughter on his shoulders walking on a boardwalk in the evening.,A man is holding his daughter.,entailment,The man is holding his daughter because he holds his young daughter.
692,A homeless man holding a sign.,The man is holding a dog.,contradiction,A dog is not a sign.
693,A man with chin-length light hair works on a sculpture.,A man is an artist.,entailment,A man works on a sculpture implies the man is an artist.
694,An elderly man is shaving another elderly man with a straight razor,Old man shaves another mans head with a straight razor.,entailment,An elderly man and old man are synonymous as part of the description of shaving another (elderly) man with a straight razor.
695,A woman in a black jacket walking in black boots and jeans with a brown handbag on her shoulder.,A woman walks to a breakfast meeting,neutral,"The reader wouldn't know where the woman was walking to, in this case a breakfast meeting."
696,A woman in a blue shirt releasing a bowling ball at a bowling lane.,A man is serving the ball on a tennis court.,contradiction,One cannot be in the bowling lane and the tennis court at the same time
697,Here is a picture of a man kissing his wife at a park and his wife is taking a picture of them kissing.,The husband and wife are newlyweds.,neutral,The fact that the man and his wife are kissing and taking pictures doesn't infer that they are newlyweds or how far along they are in their marriage.  Non newlyweds can also take pictures and kiss.
698,In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,The man with two swords is a black belt.,neutral,Just because he has two swords in a martial arts demonstration does not mean he is a black belt.
699,a lady and a kid in a strawberry ride,A lady is with a child on a ride.,entailment,A kid is the same as a child.
700,People gathering outside with signs.,a crowd of people protest outside,neutral,Gathering does not imply to protest.
701,A man with tattoo's is reflecting light to a stage.,A man has tattoos.,entailment,A man has tattoos is another way of saying a man with tattoo's.
702,"Three kids, one holding a closed umbrella, run around on a sidewalk next to a river.",A kid is holding an umbrella while running around.,entailment,Kids run around mean that they are running around.
703,This is an Asian Woman looking at shoes to purchase at a local swap meet.,A white man is buying a tv,contradiction,A man and a woman are opposite genders.
704,"A dad and his son, both in green, smile in a field of flowers.",A dad and his son sitting in a library,contradiction,They cannot be in a library and a field of flowers at the same time.
705,A man preparing food in a kitchen.,A person in the kitchen.,entailment,preparing food implies that the man is in the kitchen.
706,A woman cooking in a big pan outside.,A person making there favorite dish,neutral,Doesn't say that it is her favorite dish.
707,1 guys running with a white ball football in sand while another chases him.,The boys are on a beach.,neutral,Not all sand is on a beach.
708,A woman is standing near a public phone outside a bookstore on a city street.,The woman is getting ready to use the public telephone.,neutral,Just because a woman is standing near a telephone doesn't mean she is about to use it.
709,A windsurfer is balancing on choppy water.,There is a windsurfer who fell on the ground.,contradiction,A ground cannot be a choppy water.
710,A boy surveys merchandise in an alleyway market.,A boy is in a market.,entailment,An alleyway market is a market.
711,A man in a hat is making digital music.,A woman is making music on a violin.,contradiction,"Digital music is made using electronic computer equipment, and a violin is not electronic."
712,maintenance or construction workers on a work site on a busy city street,No workers.,contradiction,There are workers but said there are no workers
713,Many people are walking down a street surrounded by old buildings.,People are walking around downtown.,neutral,The fact that people are walking down a street doesn't imply that they are walking around downtown.
714,A group of people eating at a restaurant.,A group of friends eating at a restaurant to celebrate.,neutral,Eating at a restaurant does not imply that people are doing so to celebrate.
715,A young man in a black t-shirt plays Croquet with an inflatable mallet.,A young man is testing a new Croquet mallet.,neutral,"The mallet the man is using to pay croquet may not be new, and he might not be testing it out."
716,A man pushing two blond-haired children in a cart while another blond-haired girl keeps up.,A man is the father of the three children.,neutral,Just because a man is pushing children in a cart doesn't mean he is the father of them.
717,"A man with long brown hair, wearing a dark jacket, brown graphic t-shirt, and blue jeans is talking on a cellphone while carrying a drum on his head.",A man is base jumping off a building.,contradiction,"The man cannot be base jumping off a building, and talking on a cellphone while carrying a drum on his head, at the same time."
718,A girl with blond spiky hair and a black jacket walking along a sidewalk.,The girl has long black curly hair.,contradiction,The girl cannot have both blond spiky hair and long black curly hair
719,A welder on duty taking a break.,A welder taking a break.,entailment,"""Taking a break"" is a rephrasing of ""on duty taking a break""."
720,Two children practicing karate.,Two kids test out some new attack moves they learned in karate class.,neutral,Two children practicing karate does not indicate that they test out some new attack moves they learned in karate class.
721,A boy in a bathing suit serves a volleyball.,A boy is playing volleyball.,entailment,Serves is a form of playing.
722,A woman with a red basketball jersey is holding a basketball and looking up.,A female has clothes on.,entailment,"Jersey is just a top, clothes could mean pants."
723,A little girl smiles as she wears a white bowl on the top of her head.,the girls is five,neutral,Not all little girls are five.
724,A few girls with green foam statue of liberty hats on a train,Two girls visiting New York.,neutral,Not all girls on trains are in New York.
725,A cat swatting at a doberman dog,A cat and a dog are napping together.,contradiction,The cat is either swatting at the dog or napping with him not both.
726,A small white dog running.,A small dog running.,entailment,A small white dog is a dog.
727,A woman wearing a sweatshirt and cap chats with a healthcare provider while receiving intravenous medicine.,The woman is helping a patient.,entailment,A woman chats with a healthcare provider must mean she is helping a patient.
728,An electrician is observed from a birds eye view working on a transformer box.,An electrician is getting ready to work on a transformer box.,neutral,It cannot be inferred that the electrician is getting ready to work instead of just working.
729,Two guys in blue shirts are standing on top of a construction surface doing construction work.,Two guys are restructuring a roof,neutral,Just because they are on the surface doing construction does not mean it is a roof.
730,A man in a fisherman's cap with a striped shirt pouring something onto a bun.,man wears cap,entailment,A man in a fisherman's cap is same as man wears cap
731,A bride laughs as she cuts her cake with her groom in front of palm bushes.,The bride and groom are ironing clothes,contradiction,they cant be cutting cake and ironing at the same time
732,Two women lay on their stomachs in the sun.,Two women are outside.,entailment,two women in the sun means women are outside
733,A group of children pointing at something unseen.,a group of children are pointing,entailment,A children group is pointing at something.
734,Four females stand on the tip of their toes while practicing ballet in front of a black backdrop.,Four ballet dancers prepare for a photo.,neutral,Standing on their toes in front of a backdrop does not necessarily imply to prepare for a photo.
735,Men wearing hard hats and safety vests are working.,The men are construction workers.,neutral,Just because men are wearing hard hats and safety vests does not imply they are construction workers.
736,A man in a blue shirt is holding a construction hat.,A construction worker has just removed his hard hat.,neutral,A man in a blue shirt has just removed his hard hat.
737,A man with facial hair works on some sort of stone sculpture.,A man is creating a statue for the city.,neutral,We didn't know he was working on a statue for the city.
738,A group of African Americans gather a street vendor.,A group of blacks are by a vendor,entailment,A group of African Americans or blacks are next to a vendor.
739,two young children walking on a tiled floor,Two kids run down the street.,contradiction,The children cannot be both walking on tiled floor and running down the street at the same time.
740,A girl in motion on snow-covered ground.,A boy lies in the warm desert sand,contradiction,A girl is not a boy and a snow-covered ground is the opposite of warm desert sand.
741,a smiling woman in a peach tank top stands holding a mountain bike,The woman is playing the piano in her living room.,contradiction,The woman is either playing piano or holding a mountain bike.
742,A man is working on the coal car of a train.,He is shoveling coal,entailment,""" He "" is the pronoun used when referring to a human man."
743,Dark nightclub with chairs.,There is a dark nightclub.,entailment,The two statements refer to the same dark nightclub
744,There is a family sitting outside in the shade.,Family sitting outside under a tree.,entailment,A family sitting in the shade must be under a tree.
745,A bald man with glasses is cutting into a turkey on the dinner table.,A person preparing meat to eat at a meal.,entailment,"A person is a man who is preparing meat. A turkey is meat, therefore cutting into a turkey would be preparing meat."
746,Two men fight in a ring while spectators look on.,Two men fight.,entailment,Two men fight is the same as two men fight.
747,A man is sitting on a motorcycle on the sidewalk.,A man in black is playing with his cat on Sunday.,contradiction,A man cannot be sitting on a motorcycle and playing with his cat simultaneously.
748,People are flying kite on a beach.,people are at the beach,entailment,Flying a kite on the beach implies that people are at the beach.
749,An climber is ascending an ice covered rock face.,A person is climbing to find a treasure.,neutral,Answer :The fact that a climber is ascending does not necessarily imply that the climber is climbing to find a treasure
750,A large black dog runs along a fence in the grass.,The large dog ran along the grass.,entailment,If someone ran that means someone runs
751,An older boy holding the ears of a younger boy.,A younger boy getting bullied at his school,neutral,The boy can be bullied anywhere besides school
752,A man is carrying a white pole next to a big fan on the side of the road.,Nobody has a pole,contradiction,There can either be a man or nobody.
753,A big tan dog lays on the ground looking to the side.,"A lazy dog hears the burgles in the house, but is too lazy to give more than an occasional glance.",neutral,It cannot be inferred that the dog is lazy or that he is glancing at burglars (burgles).
754,An Asian man with dark hair wearing a dark shirt riding the subway.,The man is going to work on a bike.,contradiction,One cannot be riding the subway and be on a bike.
755,A large group of people walking on a dirt path in the woods with trees on both sides.,A large group of people are taking a hike on a mountain.,neutral,Not all people walking a path through the woods are taking a hike. Mountains are not the only places with wooded paths.
756,A kerchief-wearing man is sweeping debris at an event.,A man is sweeping.,entailment,The theme of a man sweeping does not changing.
757,A person's hand is cracking an egg and the yolk is falling out.,someone is holding a baby with both hands,contradiction,A person can not be holding a baby with both hands and also cracking an egg.
758,"Outside in the winter, the girl in red runs her tongue over her teeth.",Little girl sun bathing during summer.,contradiction,"If outside in the winter, she cannot be sunbathing during the summer."
759,A man standing by a yellow sign.,A man is next to a blue sign.,contradiction,Yellow is not blue.
760,A man sitting on a ledge eating an apple.,A person is consuming food.,entailment,"If one is eating an apple, it is implied that he is consuming food."
761,Four men are sitting near a tree talking while another stands looking at a body of water and another is rowing a boat.,6 men are near a body of water,entailment,The men are near a body of water because one of them is looking at a body of water.
762,A young woman is drawing with a Sharpie marker.,The Sharpie is black,neutral,the woman drawing with the sharpie marker need not be black
763,Three people gardening in a backyard.,Several gardeners working together.,entailment,Several implies three people or more.
764,A crowd is gathering around a large fire at night.,The people are all standing in the ocean.,contradiction,"If the people are all standing in the ocean, they are not gathered around a fire."
765,A chef on a unicycle juggles through a crowd of spectators.,The chef is in a car.,contradiction,You can not be on a unicycle and in a care at the same time.
766,A girl sitting on the sidewalk.,Their is a girl standing in a puddle.,contradiction,The girl can either be sitting or standing.
767,A man in yellow shorts throws down grains of rice in a rice paddy field.,There is a man outside.,entailment,Rice patty fields are outside
768,"Two firemen wearing hard hats in Bangrak, their uniforms have Rescue written on them, fighting a fire with water hose.",Firefighters are trying to put out a fire.,entailment,"The firefighters can be fighting or trying to put out a fire, the phrase is interchangeable."
769,A young boy dives onto a water toy.,A boy is diving onto a slip and slide.,neutral,A slip and slide is just one kind of water toy.
770,A girl in pink smiling for the camera.,A girl is smiling for the camera her Dad is holding.,neutral,Just because a girl in pink smiling for the camera does not mean her Dad is holding the camera.
771,A man in a white and black uniform carries luggage and blankets across a sidewalk outside of a red bricked building.,A man is not carrying anything.,contradiction,A man can not carry luggage and blankets while not carrying anything.
772,A young man wearing a plaid shirt sings into the microphone and plays his guitar.,A singer is also playing an instrument.,entailment,a singer who is a young man who sings and play an instrument called guitar
773,"A crowd of people are in a city square, seemingly oblivious to a human sculpture in their midst.",The human sculpture is plotting to smite the crowd of people.,contradiction,The crowd of people wouldn't be oblivious to the human sculpture if it was planning to smite them.
774,A woman is singing and playing guitar.,a man plays a tuba,contradiction,It can either be a woman or a man. It can either be a guitar or a tuba.
775,A man in all black holds on to a railing while a white dog wraps itself about his legs.,A pink elephant ate a peanut.,contradiction,is the animal a white dog or a pink elephant
776,A young boy smiling in the woods.,A young girl smiling at the beach.,contradiction,Girl and boy are different.
777,A man works on installing a floor.,A guy is laying a tile floor.,neutral,Not all floors are a tile floor.
778,"A woman standing by a car in a garage dressed for winter weather in a red knit scarf, black gloves and hat and red handbag.",It is winter.,neutral,"It is not necessarily winter that a woman standing by a car in a garage dressed for winter weather in a red knit scarf, black gloves and hat and red handbag."
779,Two women and two small girls are looking over books in a library.,Four people are in a library.,entailment,Two women and two small girls are in the library.
780,Someone is looking out their window watching the mailman deliver their mail and drive on to the next house.,An old lady looks out the window and sees the mailman.,neutral,Someone is looking out their window watching the mailman deliver their mail and drive on to the next house does not indicate that  An old lady looks out the window and sees the mailman.
781,Two men with dreadlocks sit on the street while a man in a hat and a man in a leather jacket stand behind them.,Four men are outside.,entailment,There are two men sitting and two men standing behind them outside.
782,five girls dressed alike,There are five kids with the same clothes,entailment,"The five kids are all girls, and they are dressed alike meaning same clothes"
783,"A brown-haired woman wearing glasses, a black long-sleeved shirt and pin striped pants flipping through a book and smiling as a blond woman wearing a white sweatshirt and a white shoulder bag on her right shoulder watches smiling.",Somebody who is shown here is reading.,entailment,Flipping a book doesn't have to be that you are reading.
784,A group of performers are attracting a room full of audience members with their notes of music.,the performers are sitting down talking,contradiction,The performers cannot be sitting down talking while they play music.
785,A man wearing a gray shirt is tuning his guitar.,A man is putting a mouthpiece on a trumpet.,contradiction,A man tuning his guitar is not the same as putting a mouthpiece on a trumpet.
786,A group of young children in wheelchairs pull each other through a small village as they are photographed.,A group of children are getting their photographs taken.,entailment,Getting their photographs taken is a rephrase of as they are photographed.
787,A group of people walk down the street next to a bike lane.,People walking down the street near a bike lane.,entailment,walk down is same as walking  down.
788,An Asian man in an ivory suit jacket is reaching out hands to an eager crowd in front of him.,The man is hispanic.,contradiction,one is about an asian man while the other is about a hispanic man
789,A red dump truck is dumping a load in front of some buildings while 3 men stand next to the truck.,The truck is carrying trash.,neutral,Not all truck loads are trash.
790,A man in an orange uniform standing in front of a building that is billowing smoke.,The man is here to put out the fire.,neutral,Standing in front of a building billowing smoke does not imply to put out the fire.
791,A man in a hooded sweatshirt sitting on a toolbox.,A man runs a race.,contradiction,A person can not be sitting and runs a race at the same time.
792,Three young ladies playing trumpets.,Two young ladies playing trumpets.,contradiction,There could be either two or three ladies
793,An elderly woman serving bread to a man and a woman dressed in blue t-shirts and light brown pants,There are three people with bread.,entailment,"A woman, a man and a woman are three people."
794,Military personnel with giant scissors standing under a' Grand Opening' sign.,The personnel is by a sign.,entailment,THERE IS A SIGN.
795,A man is standing in front of a large gear.,A little boy making pancakes,contradiction,a man standing in front of large gear is not a little boy with pancakes.
796,A man wearing a hat is fishing off of a dock.,A man is catching plenty of fish for his dinner.,neutral,You don't know that he is catching fish for his dinner.
797,Workers with white t-shirts measure a wooden board.,Workers measuring the dimensions of a board.,entailment,The workers are measuring the dimensions of a wooden board are wearing white t-shirts.
798,"A festive occasion with an ostrich walking in the street, with balloons in the air and people in colored hats.",An animal is in the street.,entailment,And ostrich is an animal and they are both in the street.
799,Two women in short-shorts and high heels are walking.,Two  young women in short shorts are talking.,neutral,We don't know that the women are talking.
800,A smiling cook is putting sausages on the grill.,A cook is grilling sausages.,entailment,Putting sausages on a grill is what happens when you grill sausages.
