id,Premise,Hypothesis,perturbation_1_lexical,perturbation_2_syntactic,perturbation_3_pragmatic,gold_label,Explanation
606,One man in a white robe with a microphone is reading off a sheet of paper to a crowd of people.,A man wearing a robe is reading a poetry to a crowd.,A fellow donning a robe is reciting some verse to a multitude.,Poetry is being read to a crowd by a man wearing a robe.,A man wearing a robe seems to be reading poetry to a crowd.,neutral,Not all men who read off a sheet of paper are reading poetry.
607,A blond girl and two American flags,A girl has two flags.,A girl holds two flags.,Two flags are held by a girl.,A girl appears to have two flags.,entailment,The girl actually has two flags.
608,The little girl is picking up the beans.,a little girl throws away some food,A small girl discards some food.,Some food is thrown away by a little girl.,A little girl seems to throw away some food.,contradiction,A girl can't pick up and throws something at the same time.
609,A group of people on a large boulder all wearing life vests.,A group of people on a large boulder all wearing life vests are going to go white rapid rafting,"An assembly of individuals on a sizable rock, all donned in personal flotation devices, are about to go whitewater rafting.","White rapid rafting is an activity that a group of people on a large boulder, all wearing life vests, is going to undertake.",A group of people on a large boulder all wearing life vests are likely going to go white rapid rafting.,neutral,"The boulder could be at the side of an ocean and the people are going on a whale watching cruise or boat trip, not necessarily white water rafting."
610,Three women are out having a drink together.,three women together,Three females together.,There are three women together.,It seems that three women are together.,entailment,If women are having a drink together then they are together.
611,A brown dog is laying on its back on the grass with a ball in its mouth.,A brown dog has a ball in its mouth,A brown dog possesses a ball in its mouth.,A ball is held in the mouth of a brown dog.,A brown dog seems to have a ball in its mouth.,entailment,A dog with a ball in its mouth is a  dog with a ball in its mouth.
612,Person walking across a snow covered mountain.,the person is climbing everest,The individual is ascending everest.,Everest is being climbed by the person.,The person appears to be climbing everest.,neutral,All snow-covered mountains are not everest.
613,A small white dog stands on its hind legs.,dog stands on hind legs,canine stands on hind legs,The dog is standing on its hind legs.,The dog appears to stand on hind legs.,entailment,A dog that stands on its hind legs does stand on its hind legs.
614,A man in glasses is eating food.,The man is eating a delicious dinner at a restaurant.,The man is consuming a tasty meal at an eatery.,"At a restaurant, the man is eating a delicious dinner.",The man appears to be eating a delicious dinner at a restaurant.,neutral,The man is not necessarily eating a delicious dinner at a restaurant.
615,Asian people standing on the street waiting for a bus.,The photo is set in Japan.,The picture is located in Japan.,Japan is the setting of the photo.,The photo appears to be set in Japan.,neutral,Not all Asian people standing on the street are in Japan
616,"Two lacrosse teams- one in black and orange, and the other in blue and white- play on a grass field.",people sleep in a tent,Individuals rest in a tent.,"In a tent, people sleep.",It seems that people sleep in a tent.,contradiction,Play is an active and sleep is an inactive subject.
617,A man sits outside in the partial shade in a hammock reading something.,"He had read Hemingway before, but never in such comfort.","He had read Hemingway previously, but never with this level of comfort.","While he had previously read Hemingway, he had never done so with such comfort.","He apparently had read Hemingway before, but seemingly never in such comfort.",neutral,A man outside read Hemingway
618,A man carving a pumpkin in his boxers.,The man is naked.,The man is unclothed.,The man has no clothes on.,It appears that the man is naked.,contradiction,The man can be in his boxers or naked.
619,"A baby shower was held for the new mother, there was a lovely cake in pink and white, and strawberries and punch for refreshments.",There were only strawberries to eat at the baby shower.,"At the baby shower, solely strawberries were available for consumption.",The baby shower offered solely strawberries as edible items.,It seems there were only strawberries available to eat at the baby shower.,contradiction,Only strawberries does not mean a cake.
620,Two guys in jackets with the hoods on making a pose for the camera on the beach.,Two guys in jackets with the hoods on making a pose by smiling for the camera on the beach.,"Two fellows wearing coats with their hoods up, striking a pose by grinning for the camera on the shore.","Smiling for the camera on the beach, two guys wearing hooded jackets are making a pose.",It appears that two guys in jackets with the hoods on are making a pose by smiling for the camera on the beach.,neutral,Men can pose for a camera without smiling.
621,A boy with snowshoes on is sitting in the snow and smiling.,a boy sitting in snow beaming,a boy sitting in snow and smiling,A boy who is sitting in the snow is beaming.,It seems a boy is sitting in snow and beaming.,entailment,In a both sentence a boy sitting in snow.
622,"A sleeping man lays on a bench, resting on the lap of an older, sleeping man.",Someone is resting on a bench.,A person is resting on a bench.,There is someone resting on a bench.,It appears someone is resting on a bench.,entailment,Resting is another way of describing someone who is sleeping. If someone is resting or sleeping generally they are laying down.
623,A horse and jockey jumping over a barrier.,A horse jumping over a large barrier,A horse leaping over a sizable barrier.,A horse is jumping over a large barrier.,A horse appears to be jumping over a large barrier.,neutral,You can not infer the barrier is large.
624,Two people standing in a road with a crashed motorcycle.,People seeking help of others to take away their motorcycle,Individuals are looking for assistance from others to remove their motorcycle.,"For the removal of their motorcycle, help is being sought by people from others.",People are apparently seeking help from others to take away their motorcycle.,neutral,"Just because they are standing in a road with a crashed motorcycle doesn't mean they are looking for help. They may be there to help, or they may have deliberately caused the crash."
625,A man in blue shirt is staring on something.,A man's eyes are open.,A man's eyes are unclosed.,The man has open eyes.,It seems a man's eyes are open.,entailment,Ones eyes must be open to be staring.
626,A boy wearing a flowered shirt raises his arm and jumps.,A boy is sitting down reading a book.,"A young male is seated, perusing a book.","While seated, a boy is engaged in reading a book.",A boy appears to be sitting down reading a book.,contradiction,The boy cann't raise his arms and jump while sitting reading a book.
627,A child riding a bike in a fenced in circular area in front of some water,A child is sitting on the floor.,A youngster is seated on the ground.,"On the floor, a child is sitting.",A child appears to be sitting on the floor.,contradiction,The child can't be riding while sitting.
628,A football player holding a ball is being chased by the Knights team.,A football player is making a goal while the other team chases him.,A football player is scoring a goal while the opposing team pursues him.,"While he is being chased by the other team, a football player is making a goal.",A football player appears to be making a goal while the other team chases him.,neutral,"A team does not have to be a Knights team, and a football player with a ball being chased  may not be making a goal."
629,Two people crossing paths in the ocean while parasailing during a clear blue day.,Two sharks are performing gymnastics,Two sharks are doing gymnastics.,Gymnastics is being performed by two sharks.,It seems that two sharks are performing gymnastics.,contradiction,People are not sharks. Parasailing is a form of entertainment and gymnastics is a form of exercise.
630,Two firefighters are putting out a fire at a dump.,Two people are putting out flaming garbage.,Two individuals are extinguishing burning garbage.,Flaming garbage is being put out by two people.,It appears that two people are putting out flaming garbage.,neutral,The people are not necessarily putting out flaming garbage.
631,A group of children are watching another child do a backflip into the water.,A group of children are in a classroom taking a test.,A collection of youngsters are in a schoolroom undergoing an examination.,"In a classroom, a group of children are taking a test.",It appears that a group of children are in a classroom taking a test.,contradiction,"Classrooms are not located in the water, and taking a test is a different action than doing a backflip."
632,A small dog runs through an obstacle course.,A dog is running and jumping.,A canine is scampering and bounding.,Actions of running and jumping are being carried out by a dog.,A dog appears to be running and jumping.,entailment,Doing an obstacle course can be seen as running and jumping.
633,a man& 2 woman sitting down in the park.,A man and two women are relaxing in a park.,A man and two women are unwinding in a park.,"In a park, a man and two women are relaxing.",A man and two women appear to be relaxing in a park.,neutral,Just because they're sitting down doesn't mean that they are relaxing.
634,A man holding a bottle wearing tan pants talking to security officers in front of a large poster.,A man talks to officers.,A man speaks with officers.,A man is in conversation with officers.,A man appears to talk to officers.,entailment,The men are security officers.
635,People are standing around in a semi-circle facing toward two men.,Two men are partially surround by other people.,Two men are partly encircled by other individuals.,Other people partially surround two men.,It seems that two men are partially surrounded by other people.,entailment,To describe the organization of people semi-circle is the same as partially surrounded.
636,An African American woman is picking tomatoes in a garden.,A woman is picking tomatoes in her indoor garden.,A woman is gathering tomatoes in her indoor garden.,Tomatoes are being picked by a woman in her indoor garden.,It seems a woman is picking tomatoes in her indoor garden.,neutral,"People do not necessarily need to own a garden to pick fruits and vegetables in it, so it may not be her garden. A garden can be either indoor or outdoor."
637,A dog stands on his hind feet and catches a stream of water.,A cat runs on his  feet away from  water.,A feline dashes on its legs far from water.,"Away from water, a cat runs on its feet.",A cat appears to be running on its feet away from water.,contradiction,A dog is not running on his feet away from water
638,A girl wearing snowshoes holds a bird.,A girl in rollerskates holds a squirrel.,A young woman in rollerskates holds a squirrel.,A squirrel is held by a girl in rollerskates.,A girl in rollerskates seems to hold a squirrel.,contradiction,you can not be wearing snowshoes or in rollerskates at the same time
639,Two groups are canoeing on a river overlooking a mountain.,A group of people are on a canoeing excursion on vacation.,A collection of individuals is on a canoe trip for their holiday.,A canoeing excursion on vacation is being enjoyed by a group of people.,A group of people appears to be on a canoeing excursion on vacation.,neutral,Two groups are canoeing on a river overlooking a mountain does not imply they are on a canoeing excursion on vacation
640,Two girls are sitting on an ATV on the sand in front of a bridge.,Two girls take a break after riding their ATVs all day.,Two girls rest after operating their ATVs throughout the day.,"After riding their ATVs all day, two girls take a break.",Two girls appear to take a break after riding their ATVs all day.,neutral,We have no idea how long the girls have been riding. They could have been riding all day or a very short time.
641,A man in a domino mask carries an amplifier up a hill.,The domino masked man is carrying an amplifier up the hill.,The domino masked man is transporting an amplifier up the hill.,An amplifier is being carried up the hill by the domino masked man.,The domino masked man appears to be carrying an amplifier up the hill.,entailment,Carries is a rewording of carrying.
642,Blond mother holding her child in her arms at the aquarium.,A person holding a child.,An individual holding a child.,A person who is holding a child.,It seems a person is holding a child.,entailment,a mother is a person.
643,A scientist really deep into his experiment.,A scientist holds a beaker.,A scientist grips a beaker.,A beaker is held by a scientist.,A scientist appears to hold a beaker.,neutral,A scientist doesn't have to be holding a beaker to be deep into his experiment.
644,"A woman is holding a toy snake, she is on stage with a guy speaking through a microphone, and a man in clown makeup holding a guitar.",The people are on the stage.,The individuals are on the stage.,On the stage are the people.,The people appear to be on the stage.,entailment,"A woman, guy, and a man are all types of people, since it is established that she is on the stage, that the guy and man are listed with her implies they are also on the stage."
645,A man sitting on a bed focusing on something on his lap with a wall full of paper butterflies behind him.,The wall is plain blue.,The wall is solid blue.,The color of the wall is plain blue.,The wall seems to be plain blue.,contradiction,"If the wall is full of paper butterflies, it cannot be plain."
646,Man cutting into a piece of meat with a fork and knife.,A man is using kitchen utensils.,A man is employing kitchen implements.,Kitchen utensils are being used by a man.,A man appears to be using kitchen utensils.,entailment,A man is using kitchen utensils so he must be cutting into meat with a fork and knife.
647,Three ladies are conducting scientific research.,three men are making pancakes,Three males are preparing flapjacks.,Pancakes are being made by three men.,It appears that three men are making pancakes.,contradiction,Is it three men making pancakes or three ladies conducting scientific research
648,A woman standing in a red bikini on a outdoor sand volleyball court.,A woman standing in a blue bikini on a court.,A female positioned in a blue bikini on a court.,Standing on a court is a woman in a blue bikini.,It appears that a woman is standing in a blue bikini on a court.,contradiction,A red bikini is different than a blue bikini.
649,An official man walking two twin girls across a street.,A dog is walking across the river.,A canine is traversing the river.,"Across the river, a dog is walking.",It seems a dog is walking across the river.,contradiction,Either can be a man or a dog crossing and you cannot cross street and river at the same time.
650,A group of people walk up a sloping trail lined with trees.,The bird watching group walks up the trail looking for the nesting birds.,The bird-observing party ascends the path seeking the nesting birds.,"Looking for the nesting birds, the bird watching group walks up the trail.",The bird watching group apparently walks up the trail looking for the nesting birds.,neutral,A group of people doesn't always mean bird watching group
651,"A young boy is walking on what seems to be a chilly day, though the path he's on seems to disappear into a sea of green grass.",the boy is on his way to the market,The boy is traveling to the market.,The market is where the boy is headed.,It's possible the boy is on his way to the market.,neutral,path  doesn't always mean way to the market
652,A female gymnast wearing a red leotard on a balance beam with arms raised over her head.,The gymnast has been training for years.,The athlete has been practicing for many years.,The gymnast's training has spanned several years.,It seems that the gymnast has been training for years.,neutral,not all gymnast are training for years
653,A man is panting a piece of wood.,A man is painting.,A male individual is painting.,There is a man who is painting.,A man appears to be painting.,entailment,A man is painting on a piece of wood
654,Two woman are reviewing a paper.,Two sisters read the paper.,Two siblings perused the document.,The paper was read by two sisters.,It seems that two sisters read the paper.,neutral,People can look at the paper and now read it.
655,Blond-haired toddler boy explores a traffic cone.,A young boy is with a cone shaped object.,A little child is near a conical item.,A young boy is accompanied by a cone shaped object.,A young boy appears to be with a cone shaped object.,entailment,"The boy is exploring a traffic cone, which is a cone shaped object."
656,Two men that are in a match with one another.,two men kill eachother,Two men murder one another.,Two men engage in killing each other.,It appears two men kill each other.,contradiction,It is not likely that the two men in a match will kill eachother.
657,The back of a woman's head on a train.,The woman is not on a trian.,The female is not situated on a train.,It is not the case that the woman is on a train.,It seems that the woman is not on a train.,contradiction,The woman's head cannot be on a train if the woman is not on a train.
658,Several cheerleaders are posing and performing a stunt,Several people are taking a test in a classroom,Multiple individuals are undertaking an examination inside a schoolroom.,A test is being taken by several people in a classroom.,It seems that several people are taking a test in a classroom.,contradiction,People in general should not imply cheerleaders
659,A boy kicks a soccer ball outside of a hotel.,A boy kicks a rock.,A young boy boots a stone.,A rock is kicked by a boy.,It seems a boy is kicking a rock.,contradiction,A soccer ball is not a rock.
660,A child gets her face painted by a older woman.,The child gets a balloon animal made by the old lady.,The kid receives an inflatable animal crafted by the elderly woman.,The elderly woman crafts a balloon animal for the child.,It seems the child gets a balloon animal made by the old lady.,contradiction,Getting a  face painted is different than getting an animal made.
661,Middle-aged woman in a sweater and white apron is using a spinning wheel with a second spinning wheel in the foreground.,A woman uses a crochet hook.,A woman employs a crochet hook.,A crochet hook is used by a woman.,It seems a woman uses a crochet hook.,contradiction,A crochet hook is not the same as a spinning wheel.
662,A drummer playing a red drum set.,The drums are blue.,The drum kit is blue.,Blue is the color of the drums.,It appears that the drums are blue.,contradiction,The drums cannot be red and blue. One or the other.
663,"There is a hand in front of a red, green, white, and black flag.",The flag is black,The flag possesses a black color.,The color of the flag is black.,It seems the flag is black.,contradiction,Black and red are different.
664,a group of people inside a building that overlooks a large mountain,The people are on vacation visiting a national landmark,The individuals are on holiday seeing a significant national site.,The people's vacation involves a visit to a national landmark.,It seems the people are on vacation visiting a national landmark.,neutral,People can be in a building and on not be on vacation.
665,A man casually sits on a chair and talks on the cellphone as there is a bus in the background.,man eating fish,A man ingesting fish.,Fish is being eaten by a man.,It seems a man is eating fish.,contradiction,The man can't be eating fish while he talks on the cellphone.
666,Street performers being watched by an interested crowd.,People are watching the entertainers.,Folks are observing the performers.,The entertainers are being watched by people.,It seems that people are watching the entertainers.,entailment,"The crowd is no more than a gathering of people, and street performers can be rightly referred to as entertainers."
667,A group of four friends are drinking alcohol at a party.,A group of 4 is drinking margaritas.,Four individuals are consuming margaritas.,Margaritas are being consumed by a group of 4.,A group of 4 appears to be drinking margaritas.,neutral,Drinking alcohol doesn't mean you are drinking margaritas.
668,"The Whatcom Warrior's Goalie is focused on the puck, in front of the goal post.",The goalie is standing near the goal.,The goalkeeper is situated close to the goal.,Situated near the goal is the goalie.,It seems the goalie is standing near the goal.,entailment,"""In front of the goal post"" is a rephrasing of ""standing near the goal."""
669,A group of tourists aboard a small and colorful boat in the waters of a Southeast Asian country.,The tourists are outdoors.,The tourists are outside.,It is outdoors that the tourists are.,It appears that the tourists are outdoors.,entailment,waters almost the same as  outdoors.
670,A black dog leaps through the snow near a fence.,A black dog runs outside.,A black dog moves swiftly outdoors.,Outside is where a black dog runs.,It is apparent that a black dog runs outside.,entailment,Snow is outside.
671,A woman is walking her baby with a stroller at the local park.,The man and his friend are at the game.,The gentleman and his pal are attending the match.,At the game are the man and his friend.,It seems the man and his friend are at the game.,contradiction,It is either a man or a woman.
672,Two toddles play in a colorful padded play area.,The toddlers are related to each other.,The toddlers have a family connection.,There is a familial connection between the toddlers.,It seems the toddlers are related to each other.,neutral,There is no reason to assume that the toddlers are related to each other.
673,A couple embracing while standing in a shaft of light.,they were married,they were wed,They were united in marriage.,It seems that they were married.,neutral,You can not infer there are married.
674,"A man sits on a beach wearing swim trunks and a lei, holding a blue umbrella over his head.",it is cold,It is chilly.,The temperature is cold.,It seems to be cold.,contradiction,One does not sit at the beach while it is cold.
675,"The go-cart driver is making a turn, while the red uniform matches the red car.",A go kart driver is in a red car,A go-cart operator is within a red automobile.,A red car contains a go-kart driver.,A go-kart driver appears to be in a red car.,entailment,A go-cart driver and a go kart driver are the same both in a red car.
676,Two girls play outside with chalk.,Some girls are drawing a tic-tac-toe board on the pavement.,A few girls are sketching a tic-tac-toe board on the sidewalk.,A tic-tac-toe board is being drawn on the pavement by some girls.,It appears that some girls are drawing a tic-tac-toe board on the pavement.,neutral,Just because Two girls play outside with chalk does not mean that they are drawing a tic-tac-toe board on the pavement
677,Man working with metal and a burning fire at his side.,A man working near a fire sculpting metal.,A fellow operating beside a blaze shaping metal.,"Near a fire, a man is sculpting metal.",It appears a man is working near a fire sculpting metal.,neutral,Not all metal is sculpting metal.
678,Young Indian children are gathered around a laptop computer.,the children are learning about computer programs,The kids are studying software.,It is computer programs that the children are learning about.,It is possible that the children are learning about computer programs.,neutral,They may not be learning programs
679,A man reading a newspaper is leaning up against a purple wall with graffiti.,A man is sleeping.,A man is dozing.,The man is in a state of sleep.,A man appears to be sleeping.,contradiction,Someone who is reading a newspaper and leaning up on something is awake and performing an activity; while someone sleeping is neither awake nor performing an activity.
680,Men in uniforms talking in front of a building.,Employees talking as they leave a furniture store.,Workers conversing as they exit a furniture shop.,"While exiting a furniture store, employees are engaged in conversation.",It appears that employees are talking as they leave a furniture store.,neutral,Men in uniforms aren't necessarily employees.  Not all buildings are a furniture store.
681,hockey match with two guys fighting,The homemaker is washing the dishes.,The housewife is cleaning the crockery.,The dishes are being washed by the homemaker.,It seems that the homemaker is washing the dishes.,contradiction,The two guys can't be fighting if the homemaker is washing dishes.
682,Indian shop vendor working during the day.,An Indian shop vendor is works nights.,An Indian merchant operates during nocturnal hours.,Nights are when an Indian shop vendor is at work.,"Apparently, an Indian shop vendor works nights.",contradiction,A vendor who works nights doesn't do so during the day.
683,A child is playing in the sand.,A kid is playing in the sand.,A youngster is playing in the sand.,There is a kid playing in the sand.,It appears that a kid is playing in the sand.,entailment,A child is a kid.
684,"A group of children that are either sitting or standing in a line, while two are holding a round object.","A group of children are in a circle, while some are holding a round object.","A collection of youngsters are situated in a circular formation, while several are grasping a spherical item.","A group of children, some of whom are holding a round object, are positioned in a circle.","A group of children appears to be arranged in a circle, with some seemingly holding a round object.",contradiction,Being in a circle is not being in a line.
685,A man and a woman standing on a street corner.,two people on a street corner,Two individuals on a street corner.,On a street corner are two people.,There appear to be two people on a street corner.,entailment,' standing on a street ' is a rephrasing of  ' on a street '.
686,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",The man was clean shaven.,The man was without a beard.,The man did not have a beard.,The man seems to have been clean shaven.,contradiction,One with a beard is not clean shaven.
687,Three men at work standing along a wall.,The men are at lunch,The men are having lunch.,The men are on their lunch break.,It seems the men are at lunch.,neutral,The men aren't necessarily at lunch just because they are standing along a wall.
688,A lady is at a bowling alley and throwing a red ball and there is a lady on the projector screen.,The lady is playing bowling.,The woman is bowling.,What the lady is doing is bowling.,The lady appears to be playing bowling.,entailment,If a lady is at a bowling alley and throwing a red ball she is playing bowling.
689,Two young women pull out their pocketbooks to pay their waitress.,The women are paying for coffee.,The females are settling the bill for coffee.,It is for coffee that the women are paying.,It appears the women are paying for coffee.,neutral,Just because the women pay a waitress does not mean the women are paying for coffee.
690,A man is looking out of a bus window.,the man is a traveller,The man is a passenger.,The man is someone who travels.,The man appears to be a traveller.,neutral,"One who is not traveller, liker driver, too can look out of window"
691,A man holds his young daughter on his shoulders walking on a boardwalk in the evening.,A man is holding his daughter.,A man is carrying his daughter.,His daughter is being held by a man.,It seems a man is holding his daughter.,entailment,The man is holding his daughter because he holds his young daughter.
692,A homeless man holding a sign.,The man is holding a dog.,The individual is grasping a canine.,A dog is being held by the man.,The man appears to be holding a dog.,contradiction,A dog is not a sign.
693,A man with chin-length light hair works on a sculpture.,A man is an artist.,A person is an artist.,An artist is what the man is.,It appears a man is an artist.,entailment,A man works on a sculpture implies the man is an artist.
694,An elderly man is shaving another elderly man with a straight razor,Old man shaves another mans head with a straight razor.,An old man shaves another man's head utilizing a cut-throat razor.,Another man's head is shaved by an old man with a straight razor.,It appears that an old man shaves another man's head with a straight razor.,entailment,An elderly man and old man are synonymous as part of the description of shaving another (elderly) man with a straight razor.
695,A woman in a black jacket walking in black boots and jeans with a brown handbag on her shoulder.,A woman walks to a breakfast meeting,A woman proceeds to a breakfast gathering.,A woman is making her way to a breakfast meeting.,It appears that a woman walks to a breakfast meeting.,neutral,"The reader wouldn't know where the woman was walking to, in this case a breakfast meeting."
696,A woman in a blue shirt releasing a bowling ball at a bowling lane.,A man is serving the ball on a tennis court.,A man is performing a serve with the ball on a tennis court.,The ball is being served by a man on a tennis court.,A man appears to be serving the ball on a tennis court.,contradiction,One cannot be in the bowling lane and the tennis court at the same time
697,Here is a picture of a man kissing his wife at a park and his wife is taking a picture of them kissing.,The husband and wife are newlyweds.,The married couple are newlyweds.,It is the husband and wife who are newlyweds.,The husband and wife appear to be newlyweds.,neutral,The fact that the man and his wife are kissing and taking pictures doesn't infer that they are newlyweds or how far along they are in their marriage.  Non newlyweds can also take pictures and kiss.
698,In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,The man with two swords is a black belt.,The man wielding two swords is a black belt.,The rank of black belt is held by the man with two swords.,The man with two swords appears to be a black belt.,neutral,Just because he has two swords in a martial arts demonstration does not mean he is a black belt.
699,a lady and a kid in a strawberry ride,A lady is with a child on a ride.,A woman is with a youngster on a journey.,"On a ride, a lady is with a child.",It seems that a lady is with a child on a ride.,entailment,A kid is the same as a child.
700,People gathering outside with signs.,a crowd of people protest outside,Numerous individuals demonstrate outdoors.,"Outside, a crowd of people protests.",It appears that a crowd of people is protesting outside.,neutral,Gathering does not imply to protest.
701,A man with tattoo's is reflecting light to a stage.,A man has tattoos.,A man possesses tattoos.,There are tattoos on a man.,It seems a man has tattoos.,entailment,A man has tattoos is another way of saying a man with tattoo's.
702,"Three kids, one holding a closed umbrella, run around on a sidewalk next to a river.",A kid is holding an umbrella while running around.,A child is carrying an umbrella while running about.,"Holding an umbrella, a kid is running around.",It appears that a kid is holding an umbrella while running around.,entailment,Kids run around mean that they are running around.
703,This is an Asian Woman looking at shoes to purchase at a local swap meet.,A white man is buying a tv,A caucasian male is purchasing a television.,A tv is being bought by a white man.,It seems that a white man is buying a tv.,contradiction,A man and a woman are opposite genders.
704,"A dad and his son, both in green, smile in a field of flowers.",A dad and his son sitting in a library,A father and his son seated in a library.,A dad and his son are sitting in a library.,It seems a dad and his son are sitting in a library.,contradiction,They cannot be in a library and a field of flowers at the same time.
705,A man preparing food in a kitchen.,A person in the kitchen.,An individual in the kitchen.,There is a person in the kitchen.,There appears to be a person in the kitchen.,entailment,preparing food implies that the man is in the kitchen.
706,A woman cooking in a big pan outside.,A person making there favorite dish,A person preparing their preferred dish.,Their favorite dish is being made by a person.,It looks like a person is making their favorite dish.,neutral,Doesn't say that it is her favorite dish.
707,1 guys running with a white ball football in sand while another chases him.,The boys are on a beach.,The young men are on a seashore.,A beach is where the boys are.,The boys appear to be on a beach.,neutral,Not all sand is on a beach.
708,A woman is standing near a public phone outside a bookstore on a city street.,The woman is getting ready to use the public telephone.,The woman is preparing to use the public telephone.,The woman is making preparations to use the public telephone.,The woman seems to be getting ready to use the public telephone.,neutral,Just because a woman is standing near a telephone doesn't mean she is about to use it.
709,A windsurfer is balancing on choppy water.,There is a windsurfer who fell on the ground.,There is a windsurfer who tumbled to the ground.,A windsurfer fell on the ground.,A windsurfer seems to have fallen on the ground.,contradiction,A ground cannot be a choppy water.
710,A boy surveys merchandise in an alleyway market.,A boy is in a market.,A young man is at a market.,A market contains a boy.,It seems a boy is in a market.,entailment,An alleyway market is a market.
711,A man in a hat is making digital music.,A woman is making music on a violin.,A female is creating melodies with a violin.,Music is being made on a violin by a woman.,It seems that a woman is making music on a violin.,contradiction,"Digital music is made using electronic computer equipment, and a violin is not electronic."
712,maintenance or construction workers on a work site on a busy city street,No workers.,No personnel.,There are no workers.,"Apparently, no workers.",contradiction,There are workers but said there are no workers
713,Many people are walking down a street surrounded by old buildings.,People are walking around downtown.,Folks are strolling in the city center.,There are people walking through the downtown area.,It seems that people are walking around downtown.,neutral,The fact that people are walking down a street doesn't imply that they are walking around downtown.
714,A group of people eating at a restaurant.,A group of friends eating at a restaurant to celebrate.,A company of friends is dining at a restaurant to celebrate.,"To celebrate, a group of friends is eating at a restaurant.",A group of friends appears to be eating at a restaurant to celebrate.,neutral,Eating at a restaurant does not imply that people are doing so to celebrate.
715,A young man in a black t-shirt plays Croquet with an inflatable mallet.,A young man is testing a new Croquet mallet.,A young man is trying out a new Croquet mallet.,A new Croquet mallet is being tested by a young man.,It appears that a young man is testing a new Croquet mallet.,neutral,"The mallet the man is using to pay croquet may not be new, and he might not be testing it out."
716,A man pushing two blond-haired children in a cart while another blond-haired girl keeps up.,A man is the father of the three children.,A man is the dad of the three kids.,The father of the three children is a man.,A man appears to be the father of the three children.,neutral,Just because a man is pushing children in a cart doesn't mean he is the father of them.
717,"A man with long brown hair, wearing a dark jacket, brown graphic t-shirt, and blue jeans is talking on a cellphone while carrying a drum on his head.",A man is base jumping off a building.,A man is performing a base jump from a building.,A base jump off a building is being performed by a man.,A man appears to be base jumping off a building.,contradiction,"The man cannot be base jumping off a building, and talking on a cellphone while carrying a drum on his head, at the same time."
718,A girl with blond spiky hair and a black jacket walking along a sidewalk.,The girl has long black curly hair.,The girl possesses lengthy black curly hair.,"The girl's hair is long, black, and curly.",It appears the girl has long black curly hair.,contradiction,The girl cannot have both blond spiky hair and long black curly hair
719,A welder on duty taking a break.,A welder taking a break.,A welder resting.,A welder who is taking a break.,A welder appears to be taking a break.,entailment,"""Taking a break"" is a rephrasing of ""on duty taking a break""."
720,Two children practicing karate.,Two kids test out some new attack moves they learned in karate class.,Two children try out some new offensive techniques they acquired in karate class.,"New attack moves, learned in karate class, are being tested out by two kids.",Two kids appear to be testing out some new attack moves they learned in karate class.,neutral,Two children practicing karate does not indicate that they test out some new attack moves they learned in karate class.
721,A boy in a bathing suit serves a volleyball.,A boy is playing volleyball.,A boy is engaged in volleyball.,A boy is the one playing volleyball.,A boy seems to be playing volleyball.,entailment,Serves is a form of playing.
722,A woman with a red basketball jersey is holding a basketball and looking up.,A female has clothes on.,A female is wearing attire.,A female is clothed.,A female seems to have clothes on.,entailment,"Jersey is just a top, clothes could mean pants."
723,A little girl smiles as she wears a white bowl on the top of her head.,the girls is five,The girl is five years old.,The girl is of five years of age.,The girl is likely five.,neutral,Not all little girls are five.
724,A few girls with green foam statue of liberty hats on a train,Two girls visiting New York.,A couple of young women touring New York.,There are two girls who are visiting New York.,It appears that two girls are visiting New York.,neutral,Not all girls on trains are in New York.
725,A cat swatting at a doberman dog,A cat and a dog are napping together.,A feline and a canine are sleeping jointly.,"Together, a cat and a dog are napping.",It appears a cat and a dog are napping together.,contradiction,The cat is either swatting at the dog or napping with him not both.
726,A small white dog running.,A small dog running.,A little dog running.,It is a small dog that is running.,A small dog seems to be running.,entailment,A small white dog is a dog.
727,A woman wearing a sweatshirt and cap chats with a healthcare provider while receiving intravenous medicine.,The woman is helping a patient.,The woman is assisting a patient.,A patient is being helped by the woman.,The woman seems to be helping a patient.,entailment,A woman chats with a healthcare provider must mean she is helping a patient.
728,An electrician is observed from a birds eye view working on a transformer box.,An electrician is getting ready to work on a transformer box.,An electrician is preparing to work on a transformer box.,The preparation for working on a transformer box is being done by an electrician.,An electrician appears to be getting ready to work on a transformer box.,neutral,It cannot be inferred that the electrician is getting ready to work instead of just working.
729,Two guys in blue shirts are standing on top of a construction surface doing construction work.,Two guys are restructuring a roof,Two men are renovating a roof.,A roof is being restructured by two guys.,It seems two guys are restructuring a roof.,neutral,Just because they are on the surface doing construction does not mean it is a roof.
730,A man in a fisherman's cap with a striped shirt pouring something onto a bun.,man wears cap,A man is donning a hat.,A cap is worn by the man.,It seems the man wears a cap.,entailment,A man in a fisherman's cap is same as man wears cap
731,A bride laughs as she cuts her cake with her groom in front of palm bushes.,The bride and groom are ironing clothes,The bride and groom are pressing garments.,Clothes are being ironed by the bride and groom.,The bride and groom appear to be ironing clothes.,contradiction,they cant be cutting cake and ironing at the same time
