id,premise_raw,premise_original_necessity,premise_original_necessity_control,premise_original_sufficiency,premise_original_sufficiency_control,coverage_original,premise_lexical_necessity,premise_lexical_necessity_control,premise_lexical_sufficiency,premise_lexical_sufficiency_control,coverage_lexical,premise_syntactic_necessity,premise_syntactic_necessity_control,premise_syntactic_sufficiency,premise_syntactic_sufficiency_control,coverage_syntactic,premise_pragmatic_necessity,premise_pragmatic_necessity_control,premise_pragmatic_sufficiency,premise_pragmatic_sufficiency_control,coverage_pragmatic
578,A man on a half pipe doing a skateboard trick.,A man _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ on a half pipe doing a skateboard trick.,_____ _____ on a half pipe doing a skateboard trick.,A _____ on _____ half pipe doing a skateboard trick.,0.8000,A man on a half pipe _____ _____ _____ _____,_____ man _____ a _____ _____ doing a skateboard trick.,_____ _____ _____ _____ _____ _____ doing a skateboard trick.,_____ man _____ a _____ pipe doing _____ _____ _____,0.4000,A man on a half pipe _____ _____ _____ _____,A _____ _____ a _____ _____ doing a skateboard trick.,_____ _____ _____ _____ _____ _____ doing a skateboard trick.,_____ _____ on _____ _____ pipe doing _____ _____ trick.,0.4000,A man on a _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ half pipe doing a skateboard trick.,_____ _____ _____ _____ half pipe doing a skateboard trick.,A man on a _____ pipe _____ _____ skateboard _____,0.6000
579,A old male with a bear sitting down with a circular piece of metal.,A old male with a bear _____ _____ with a circular piece of metal.,A old male with a _____ sitting down with a _____ piece of metal.,_____ _____ _____ _____ _____ _____ sitting down _____ _____ _____ _____ _____ _____,_____ old _____ _____ _____ _____ _____ _____ _____ a _____ _____ _____ _____,0.1429,A old male with a bear _____ _____ with a circular piece of metal.,A old male with a bear sitting down with a _____ _____ of metal.,_____ _____ _____ _____ _____ _____ sitting down _____ _____ _____ _____ _____ _____,_____ old _____ _____ _____ _____ _____ _____ _____ _____ _____ piece _____ _____,0.1429,A old male with a bear _____ _____ with a circular piece of metal.,A _____ male with a bear sitting down _____ a circular piece of metal.,_____ _____ _____ _____ _____ _____ sitting down _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ a _____ _____ _____ _____ _____ _____ _____ _____ metal.,0.1429,A old male with a bear _____ _____ with a circular piece of metal.,A old male _____ a bear sitting down with a circular piece _____ metal.,_____ _____ _____ _____ _____ _____ sitting down _____ _____ _____ _____ _____ _____,_____ old _____ _____ _____ bear _____ _____ _____ _____ _____ _____ _____ _____,0.1429
580,A white man on a phone sits at a very messy desk.,A white man _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ on a phone sits at a very messy desk.,_____ _____ _____ on a phone sits at a very messy desk.,A _____ man on a phone sits _____ a very messy _____,0.7500,A white _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ man on a phone sits at a very messy desk.,_____ _____ man on a phone sits at a very messy desk.,A _____ man on a phone sits at _____ very messy desk.,0.8333,A white man _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ on a phone sits at a very messy desk.,_____ _____ _____ on a phone sits at a very messy desk.,_____ white man on a phone _____ at a very _____ desk.,0.7500,A white _____ _____ _____ _____ sits at a very messy desk.,A white man on a phone _____ _____ a _____ messy _____,_____ _____ man on a phone _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ a phone sits _____ _____ very _____ _____,0.3333
581,A man is carrying a bag in his left hand.,A man is _____ _____ _____ in his _____ _____,_____ _____ _____ carrying a bag _____ _____ left hand.,_____ _____ _____ carrying a bag _____ _____ left hand.,_____ man _____ carrying a _____ in his _____ _____,0.5000,A man is _____ a _____ _____ _____ _____ _____,_____ _____ _____ carrying _____ bag in his left hand.,_____ _____ _____ carrying _____ bag in his left hand.,A _____ is carrying a _____ _____ his left _____,0.6000,A man is _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ carrying a bag in his left hand.,_____ _____ _____ carrying a bag in his left hand.,A man is carrying a bag in _____ _____ _____,0.7000,A man is _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ carrying a bag in his left hand.,_____ _____ _____ carrying a bag in his left hand.,A man is carrying a _____ _____ his left _____,0.7000
583,There are three ladies walking down a busy street.,There are _____ _____ _____ _____ _____ _____ _____,_____ _____ three ladies walking down a busy street.,_____ _____ three ladies walking down a busy street.,There _____ three ladies walking down _____ busy street.,0.7778,There are three _____ walking down a busy street.,There are three ladies walking down a busy _____,_____ _____ _____ ladies _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ a _____ _____,0.1111,There are three _____ walking down a busy _____,There _____ three ladies walking down a _____ street.,_____ _____ _____ ladies _____ _____ _____ _____ street.,_____ _____ _____ _____ walking _____ a _____ _____,0.2222,There are three _____ _____ _____ _____ _____ _____,_____ _____ _____ ladies walking down a busy street.,_____ _____ _____ ladies walking down a busy street.,There are _____ _____ walking down _____ busy street.,0.6667
584,Riders waiting to get on the train.,Riders _____ _____ _____ _____ _____ _____,_____ waiting to get on the train.,_____ waiting to get on the train.,_____ waiting to get on the train.,0.8571,_____ _____ _____ _____ _____ _____ _____,Riders waiting to get on the train.,Riders waiting to get on the train.,Riders waiting to get on the train.,1.0000,Riders _____ _____ _____ _____ _____ _____,_____ waiting to get on the train.,_____ waiting to get on the train.,_____ waiting to get on the train.,0.8571,Riders _____ _____ _____ _____ _____ _____,_____ waiting to get on the train.,_____ waiting to get on the train.,Riders waiting to get on the _____,0.8571
586,A boy in a red shirt riding a bike.,_____ _____ in a red shirt _____ _____ _____,A boy _____ _____ _____ _____ riding a bike.,A boy _____ _____ _____ _____ riding a bike.,_____ boy in a _____ shirt _____ _____ bike.,0.5556,A _____ in a red shirt _____ _____ _____,_____ boy _____ a _____ _____ riding a bike.,_____ boy _____ _____ _____ _____ riding a bike.,A _____ in _____ _____ _____ riding _____ bike.,0.4444,_____ _____ in a red shirt _____ _____ _____,A boy _____ _____ _____ _____ riding a bike.,A boy _____ _____ _____ _____ riding a bike.,_____ boy in a _____ _____ riding a _____,0.5556,_____ _____ in a red shirt _____ _____ _____,A boy _____ _____ _____ _____ riding a bike.,A boy _____ _____ _____ _____ riding a bike.,A boy _____ a red _____ _____ a _____,0.5556
587,A small child stands in front of short white table.,A small _____ _____ _____ _____ _____ short white _____,_____ _____ child stands in front of _____ _____ table.,_____ _____ child stands in front of _____ _____ table.,A small child stands _____ _____ _____ _____ white table.,0.6000,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A small child stands in front of short white table.,A small child stands in front of short white table.,A small child stands in front of short white table.,1.0000,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A small child stands in front of short white table.,A small child stands in front of short white table.,A small child stands in front of short white table.,1.0000,A small _____ _____ in front of short white _____,_____ small child stands _____ front of short _____ table.,_____ _____ child stands _____ _____ _____ _____ _____ table.,_____ _____ _____ _____ _____ _____ of short white _____,0.3000
588,A dog with golden fur is chest deep in water.,_____ _____ with golden fur is _____ _____ _____ _____,A dog _____ _____ _____ _____ chest deep in water.,A dog _____ _____ _____ _____ chest deep in water.,A dog with golden _____ _____ chest _____ _____ water.,0.6000,A dog with golden fur is _____ _____ _____ _____,A _____ with _____ _____ _____ chest deep in water.,_____ _____ _____ _____ _____ _____ chest deep in water.,A _____ _____ _____ fur is _____ _____ in _____,0.4000,_____ _____ with golden fur is _____ _____ _____ _____,A dog _____ _____ _____ _____ chest deep in water.,A dog _____ _____ _____ _____ chest deep in water.,A _____ with golden _____ is _____ deep in _____,0.6000,A _____ with golden fur is _____ _____ _____ _____,_____ dog _____ _____ _____ _____ chest deep in water.,_____ dog _____ _____ _____ _____ chest deep in water.,A dog with _____ fur is _____ _____ _____ _____,0.5000
589,"A woman with a white shirt is standing near a couple in front of a store called ""Concepts.""","A woman with a white shirt is _____ near a couple _____ _____ _____ _____ _____ called ""Concepts.""",A _____ with _____ white _____ is standing _____ a couple in front of a store _____ _____,_____ _____ _____ _____ _____ _____ _____ standing _____ _____ _____ in front of a store _____ _____,_____ woman with _____ _____ _____ _____ _____ _____ _____ couple in _____ of a _____ _____ _____,0.3333,"A woman with a white shirt is _____ near a couple _____ _____ _____ _____ _____ called ""Concepts.""",_____ _____ with _____ white shirt _____ standing near a couple in front of a store _____ _____,_____ _____ _____ _____ _____ _____ _____ standing _____ _____ _____ in front of a store _____ _____,_____ woman _____ _____ white _____ _____ standing _____ a _____ in front _____ _____ _____ _____ _____,0.3333,A woman with a white shirt is _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,"_____ _____ _____ _____ _____ _____ _____ standing near a couple in front of a store called ""Concepts.""","_____ _____ _____ _____ _____ _____ _____ standing near a couple in front of a store called ""Concepts.""","_____ woman _____ a _____ shirt is standing near a _____ in _____ of _____ _____ called ""Concepts.""",0.6111,"A woman with a white shirt is _____ _____ _____ _____ _____ _____ _____ _____ _____ called ""Concepts.""",_____ _____ _____ _____ _____ _____ _____ standing near a couple in front of a store _____ _____,_____ _____ _____ _____ _____ _____ _____ standing near a couple in front of a store _____ _____,"_____ woman with a white _____ is standing _____ _____ _____ _____ _____ of a _____ _____ ""Concepts.""",0.5000
590,A woman is wearing a sun cap by a red stand.,A woman is wearing a _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ sun cap by a red stand.,_____ _____ _____ _____ _____ sun cap by a red stand.,A _____ is _____ a _____ cap by _____ red _____,0.5455,A woman is wearing a _____ _____ by a red stand.,A woman is wearing a sun cap _____ a red _____,_____ _____ _____ _____ _____ sun cap _____ _____ _____ _____,_____ woman _____ _____ _____ sun _____ _____ _____ _____ _____,0.1818,_____ _____ _____ _____ _____ _____ _____ by a red stand.,A woman is wearing a sun cap _____ _____ _____ _____,A woman is wearing a sun cap _____ _____ _____ _____,_____ woman is wearing _____ _____ cap by a red _____,0.6364,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A woman is wearing a sun cap by a red stand.,A woman is wearing a sun cap by a red stand.,A woman is wearing a sun cap by a red stand.,1.0000
591,Two men are playing baseball.,Two men are _____ _____,_____ men _____ playing baseball.,_____ _____ _____ playing baseball.,_____ _____ are playing _____,0.4000,Two men are _____ _____,Two _____ _____ playing baseball.,_____ _____ _____ playing baseball.,Two _____ are _____ _____,0.4000,_____ _____ are _____ _____,Two men _____ playing baseball.,Two men _____ playing baseball.,Two _____ are playing baseball.,0.8000,Two men are _____ _____,Two _____ _____ playing baseball.,_____ _____ _____ playing baseball.,_____ men are _____ _____,0.4000
592,These girls are in uniforms and are playing field hockey.,These _____ are in uniforms and are _____ _____ _____,_____ girls are _____ _____ and _____ playing field hockey.,_____ girls _____ _____ _____ _____ _____ playing field hockey.,_____ _____ _____ _____ uniforms and are _____ field _____,0.4000,These girls are in uniforms and are _____ _____ _____,_____ _____ are in uniforms _____ are playing field hockey.,_____ _____ _____ _____ _____ _____ _____ playing field hockey.,_____ girls _____ in _____ and _____ _____ _____ _____,0.3000,These _____ are in uniforms and _____ _____ _____ _____,_____ girls _____ _____ _____ _____ are playing field hockey.,_____ girls _____ _____ _____ _____ are playing field hockey.,These _____ are in _____ _____ are playing _____ _____,0.5000,These girls are in uniforms and are _____ _____ _____,_____ girls are in uniforms _____ _____ playing field hockey.,_____ _____ _____ _____ _____ _____ _____ playing field hockey.,_____ girls _____ in uniforms _____ _____ _____ _____ _____,0.3000
593,"Six children, boys and girls, jumping into a swimming pool.","Six children, boys and girls, _____ _____ _____ _____ _____",_____ _____ _____ _____ _____ jumping into a swimming pool.,_____ _____ _____ _____ _____ jumping into a swimming pool.,"_____ _____ boys and girls, jumping _____ _____ swimming _____",0.5000,"Six children, boys and girls, jumping into a _____ _____","Six children, boys and _____ jumping into _____ swimming pool.",_____ _____ _____ _____ _____ _____ _____ _____ swimming pool.,_____ _____ _____ _____ _____ jumping into _____ _____ _____,0.2000,"Six children, boys and girls, _____ _____ a _____ _____",_____ _____ boys and _____ jumping into _____ swimming pool.,_____ _____ _____ _____ _____ jumping into _____ swimming pool.,"Six children, _____ _____ girls, _____ into _____ _____ _____",0.4000,"Six children, boys and girls, jumping into a _____ _____","Six children, boys _____ girls, jumping into _____ swimming pool.",_____ _____ _____ _____ _____ _____ _____ _____ swimming pool.,_____ _____ _____ _____ _____ _____ _____ a _____ pool.,0.2000
594,"A man walking across a crosswalk with long hair, a green hoodie, and a backpack.",_____ _____ _____ _____ _____ _____ with _____ _____ _____ _____ _____ and _____ _____,"A man walking across a crosswalk _____ long hair, a green hoodie, _____ a backpack.","A man walking across a crosswalk _____ long hair, a green hoodie, _____ a backpack.","A man walking across a crosswalk with long hair, _____ green hoodie, _____ a backpack.",0.8667,"A man _____ _____ _____ _____ with long hair, a green hoodie, and a backpack.","A _____ walking across a crosswalk with _____ hair, _____ _____ hoodie, and a backpack.",_____ _____ walking across a crosswalk _____ _____ _____ _____ _____ _____ _____ _____ _____,"_____ _____ _____ _____ _____ _____ _____ _____ hair, _____ _____ hoodie, _____ a backpack.",0.2667,"A man _____ _____ _____ _____ with long hair, a green hoodie, and a backpack.","_____ _____ walking across a crosswalk with long hair, a green _____ and _____ backpack.",_____ _____ walking across a crosswalk _____ _____ _____ _____ _____ _____ _____ _____ _____,"A _____ _____ _____ _____ crosswalk _____ long _____ _____ _____ hoodie, _____ _____ _____",0.2667,"_____ _____ _____ _____ _____ _____ with long hair, a green hoodie, and a backpack.",A man walking across a crosswalk _____ long _____ _____ _____ _____ and _____ backpack.,A man walking across a crosswalk _____ _____ _____ _____ _____ _____ _____ _____ _____,A _____ walking _____ _____ _____ _____ long _____ _____ green _____ and _____ backpack.,0.4000
596,Boy in Red uniform holding up trophy.,_____ in Red uniform _____ _____ _____,Boy _____ _____ _____ holding up trophy.,Boy _____ _____ _____ holding up trophy.,Boy in _____ _____ _____ up trophy.,0.5714,_____ in Red uniform _____ _____ _____,Boy _____ _____ _____ holding up trophy.,Boy _____ _____ _____ holding up trophy.,_____ in Red uniform holding _____ _____,0.5714,_____ in Red uniform _____ _____ _____,Boy _____ _____ _____ holding up trophy.,Boy _____ _____ _____ holding up trophy.,Boy in _____ _____ holding up _____,0.5714,_____ in Red uniform _____ _____ _____,Boy _____ _____ _____ holding up trophy.,Boy _____ _____ _____ holding up trophy.,_____ in _____ uniform holding _____ trophy.,0.5714
597,Smiling young girl wearing pink headband and lavender shirt,_____ _____ _____ wearing _____ _____ and _____ _____,Smiling young girl _____ pink headband _____ lavender shirt,Smiling young girl _____ pink headband _____ lavender shirt,Smiling young girl wearing _____ headband _____ lavender shirt,0.7778,_____ young _____ wearing _____ _____ and _____ _____,Smiling _____ girl _____ pink headband _____ lavender shirt,Smiling _____ girl _____ pink headband _____ lavender shirt,Smiling young girl wearing pink headband _____ _____ _____,0.6667,_____ _____ _____ wearing _____ _____ and _____ _____,Smiling young girl _____ pink headband _____ lavender shirt,Smiling young girl _____ pink headband _____ lavender shirt,Smiling young girl wearing pink _____ and lavender _____,0.7778,_____ _____ _____ wearing _____ _____ and _____ _____,Smiling young girl _____ pink headband _____ lavender shirt,Smiling young girl _____ pink headband _____ lavender shirt,Smiling young girl wearing _____ headband _____ lavender shirt,0.7778
598,A man is kneeling on the sidewalk to talk to a little girl.,A man is _____ _____ _____ _____ to talk to a little girl.,A man is kneeling on the sidewalk to _____ to _____ _____ _____,_____ _____ _____ kneeling on the sidewalk _____ _____ _____ _____ _____ _____,A _____ is _____ _____ _____ sidewalk _____ _____ to _____ _____ _____,0.3077,A man is _____ _____ _____ _____ to talk to a little girl.,A man _____ kneeling on the sidewalk to _____ _____ a _____ girl.,_____ _____ _____ kneeling on the sidewalk _____ _____ _____ _____ _____ _____,_____ _____ is _____ on _____ sidewalk _____ _____ to _____ _____ _____,0.3077,A man is _____ _____ _____ _____ to talk to a little girl.,_____ man _____ kneeling on the sidewalk _____ talk to a little _____,_____ _____ _____ kneeling on the sidewalk _____ _____ _____ _____ _____ _____,_____ man is _____ _____ the _____ _____ _____ to _____ _____ _____,0.3077,A man is _____ _____ _____ _____ to talk to a little girl.,A man is kneeling on the sidewalk _____ _____ _____ _____ little girl.,_____ _____ _____ kneeling on the sidewalk _____ _____ _____ _____ _____ _____,A man _____ _____ _____ _____ sidewalk _____ talk _____ _____ _____ _____,0.3077
599,Two African-American people are sitting on a couch and chair looking at something.,Two African-American people are sitting on a couch and chair _____ _____ _____,Two African-American people _____ _____ on _____ couch and chair looking at something.,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ looking at something.,_____ _____ _____ _____ _____ _____ _____ couch _____ _____ looking _____ something.,0.2308,Two African-American people are sitting on a couch and chair _____ _____ _____,Two African-American people are _____ _____ a _____ and chair looking at something.,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ looking at something.,_____ African-American _____ are _____ _____ _____ couch _____ _____ _____ _____ _____,0.2308,Two African-American people are sitting on a couch and chair _____ _____ _____,Two African-American _____ are sitting on _____ couch and _____ looking at something.,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ looking at something.,_____ _____ _____ are _____ _____ _____ _____ _____ _____ _____ at something.,0.2308,Two African-American people are sitting on a couch and chair _____ _____ _____,Two African-American people are _____ on a couch _____ _____ looking at something.,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ looking at something.,_____ _____ _____ _____ sitting _____ _____ _____ _____ _____ _____ at something.,0.2308
600,A baseball player in a blue uniform beats a runner to the base.,A _____ _____ in a blue uniform _____ _____ _____ _____ _____ _____,_____ baseball player _____ _____ _____ _____ beats a runner to the base.,_____ baseball player _____ _____ _____ _____ beats a runner to the base.,_____ baseball player in a _____ uniform beats _____ _____ to the _____,0.6154,A _____ _____ in a blue uniform beats a runner to the base.,A baseball player in a blue uniform _____ a runner _____ the base.,_____ baseball player _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ a _____ _____ _____ _____ _____ _____ the _____,0.1538,A _____ _____ in a blue uniform beats a runner to the base.,A baseball player in a _____ uniform beats a runner _____ the base.,_____ baseball player _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ in _____ _____ _____ _____ _____ _____ to _____ _____,0.1538,A _____ _____ in a blue uniform beats a runner to the base.,A baseball player in a _____ uniform beats a runner to the _____,_____ baseball player _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ player _____ _____ _____ uniform _____ _____ _____ _____ _____ _____,0.1538
602,Two girls wearing identical outfits are performing what appears to be a tap dance routine.,Two girls wearing identical outfits are _____ what appears to be a _____ _____ _____,Two girls _____ identical _____ _____ performing what appears to _____ a tap dance routine.,_____ _____ _____ _____ _____ _____ performing _____ _____ _____ _____ _____ tap dance routine.,Two _____ wearing _____ _____ _____ performing _____ _____ _____ _____ _____ tap _____ _____,0.2667,Two girls wearing identical outfits are _____ what appears to be a _____ _____ _____,Two girls _____ identical outfits _____ performing what appears _____ be _____ tap dance routine.,_____ _____ _____ _____ _____ _____ performing _____ _____ _____ _____ _____ tap dance routine.,_____ _____ _____ identical outfits _____ _____ _____ _____ to _____ _____ _____ _____ routine.,0.2667,Two girls wearing identical outfits are performing what appears to be a _____ _____ _____,Two _____ wearing identical outfits _____ performing what appears to be _____ tap dance routine.,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ tap dance routine.,_____ _____ _____ identical _____ are _____ what _____ _____ _____ _____ _____ _____ _____,0.2000,Two girls wearing identical outfits are performing what appears to be a _____ _____ _____,Two girls wearing identical outfits are performing _____ _____ _____ be a tap dance routine.,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ tap dance routine.,_____ _____ _____ _____ _____ _____ _____ _____ _____ to be _____ _____ dance _____,0.2000
603,A player either fielding a high pass or going up for a shot while being defended on the basketball court.,A player either _____ _____ _____ _____ or _____ _____ _____ _____ _____ while _____ _____ _____ _____ _____ _____,_____ _____ _____ fielding a high pass _____ going up for a shot _____ being defended on the basketball court.,_____ _____ _____ fielding a high pass _____ going up for a shot _____ being defended on the basketball court.,A _____ either fielding a high pass _____ going _____ for a shot while being defended on _____ _____ court.,0.7500,A player either _____ _____ _____ _____ or _____ _____ _____ _____ _____ while being defended _____ _____ _____ _____,_____ _____ _____ fielding a high pass _____ going up for a shot _____ _____ _____ on the basketball court.,_____ _____ _____ fielding a high pass _____ going up for a shot _____ _____ _____ on the basketball court.,A player either fielding _____ high _____ or going up for _____ _____ _____ being _____ on the _____ court.,0.6500,A player either _____ _____ _____ _____ or _____ _____ _____ _____ _____ while _____ _____ on the _____ _____,_____ _____ _____ fielding a high pass _____ going up for a shot _____ being defended _____ _____ basketball court.,_____ _____ _____ fielding a high pass _____ going up for a shot _____ being defended _____ _____ basketball court.,A _____ either _____ a high _____ _____ going up for _____ shot _____ _____ defended on the basketball court.,0.6500,A player either _____ _____ _____ _____ or _____ _____ _____ _____ _____ while being defended _____ _____ _____ _____,_____ _____ _____ fielding a high pass _____ going up for a shot _____ _____ _____ on the basketball court.,_____ _____ _____ fielding a high pass _____ going up for a shot _____ _____ _____ on the basketball court.,_____ player either _____ a high pass _____ going _____ for a _____ _____ being defended on the _____ court.,0.6500
604,"A man dressed in black is attaching a tow-bar to a dark blue, wrecked SUV.",A man dressed in black is attaching a tow-bar to a _____ _____ wrecked SUV.,"A man dressed in black is attaching a tow-bar _____ _____ dark blue, wrecked SUV.","_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ dark blue, _____ _____",_____ man _____ _____ _____ is _____ _____ _____ _____ _____ _____ _____ _____ _____,0.1333,A man dressed in black is attaching a tow-bar to a _____ _____ wrecked SUV.,"A man dressed in black is _____ a tow-bar to a dark blue, _____ SUV.","_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ dark blue, _____ _____",A _____ dressed _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,0.1333,A man dressed in black is attaching a tow-bar to a _____ _____ wrecked SUV.,"A man dressed in black is attaching a tow-bar to _____ dark blue, _____ SUV.","_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ dark blue, _____ _____",_____ _____ _____ _____ _____ _____ _____ a _____ _____ _____ _____ _____ wrecked _____,0.1333,A man dressed in black is attaching a tow-bar to a _____ _____ wrecked SUV.,"A man dressed in _____ is attaching a _____ to a dark blue, wrecked SUV.","_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ dark blue, _____ _____",_____ _____ _____ _____ black _____ _____ _____ _____ _____ _____ _____ _____ wrecked _____,0.1333
605,"The mother is in the kitchen cleaning, she has her cleaning clothes on.",_____ _____ is _____ _____ _____ _____ she has her _____ clothes on.,"The mother _____ in the kitchen cleaning, _____ _____ _____ cleaning _____ _____","The mother _____ in the kitchen cleaning, _____ _____ _____ cleaning _____ _____","_____ _____ _____ _____ the kitchen cleaning, she has her _____ clothes _____",0.5385,The _____ is in the kitchen _____ she has her _____ clothes on.,"_____ mother _____ in the kitchen cleaning, she _____ her cleaning clothes on.","_____ mother _____ _____ _____ _____ cleaning, _____ _____ _____ cleaning _____ _____","_____ _____ is _____ _____ kitchen cleaning, _____ _____ _____ _____ _____ _____",0.2308,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,"The mother is in the kitchen cleaning, she has her cleaning clothes on.","The mother is in the kitchen cleaning, she has her cleaning clothes on.","The mother is in the kitchen cleaning, she has her cleaning clothes on.",1.0000,The _____ is in the _____ _____ she has her _____ _____ on.,"_____ mother _____ in _____ kitchen cleaning, _____ has her cleaning clothes _____","_____ mother _____ _____ _____ kitchen cleaning, _____ _____ _____ cleaning clothes _____",_____ _____ is _____ _____ kitchen _____ she has _____ _____ clothes _____,0.3846
606,One man in a white robe with a microphone is reading off a sheet of paper to a crowd of people.,One _____ in a white robe with a microphone is _____ _____ _____ _____ _____ _____ to a crowd of people.,_____ man in _____ _____ _____ with a microphone is reading off a sheet of paper to _____ _____ _____ people.,_____ man _____ _____ _____ _____ _____ _____ _____ _____ reading off a sheet of paper _____ _____ _____ _____ _____,_____ man _____ a white _____ with _____ _____ _____ _____ _____ _____ _____ of _____ _____ _____ crowd _____ people.,0.3333,One man in a white robe with a microphone is _____ _____ _____ _____ _____ _____ to a crowd of people.,_____ man in _____ _____ robe with a _____ is reading off a sheet of paper to _____ _____ of people.,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ reading off a sheet of paper _____ _____ _____ _____ _____,_____ man _____ _____ _____ robe _____ _____ microphone _____ _____ _____ _____ _____ of paper _____ _____ _____ _____ people.,0.2857,One _____ in a white robe with a microphone is _____ _____ _____ _____ _____ _____ to a crowd of people.,One man _____ a _____ robe _____ _____ _____ _____ reading off a sheet of paper _____ a crowd of people.,_____ man _____ _____ _____ _____ _____ _____ _____ _____ reading off a sheet of paper _____ _____ _____ _____ _____,_____ man _____ a _____ _____ _____ _____ _____ _____ _____ off _____ sheet of paper _____ _____ crowd _____ _____,0.3333,One man in a white robe with a microphone _____ _____ _____ _____ _____ _____ _____ to a crowd of people.,_____ man in _____ _____ robe _____ a _____ is reading off a sheet of paper to a _____ _____ people.,_____ _____ _____ _____ _____ _____ _____ _____ _____ is reading off a sheet of paper _____ _____ _____ _____ _____,_____ man _____ a white _____ _____ _____ _____ _____ _____ _____ _____ _____ of paper _____ a _____ of _____,0.3333
607,A blond girl and two American flags,A blond _____ and _____ _____ _____,_____ _____ girl _____ two American flags,_____ _____ girl _____ two American flags,A blond girl _____ _____ _____ flags,0.5714,_____ _____ _____ and _____ _____ _____,A blond girl _____ two American flags,A blond girl _____ two American flags,A blond girl and two _____ flags,0.8571,_____ _____ _____ _____ _____ _____ _____,A blond girl and two American flags,A blond girl and two American flags,A blond girl and two American flags,1.0000,A blond _____ and _____ _____ _____,_____ _____ girl _____ two American flags,_____ _____ girl _____ two American flags,A blond _____ _____ two _____ flags,0.5714
609,A group of people on a large boulder all wearing life vests.,A group of people on a large boulder all _____ _____ _____,A group of people _____ _____ _____ boulder all wearing life vests.,_____ _____ _____ _____ _____ _____ _____ _____ _____ wearing life vests.,_____ group _____ people _____ _____ large _____ _____ _____ _____ _____,0.2500,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A group of people on a large boulder all wearing life vests.,A group of people on a large boulder all wearing life vests.,A group of people on a large boulder all wearing life vests.,1.0000,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A group of people on a large boulder all wearing life vests.,A group of people on a large boulder all wearing life vests.,A group of people on a large boulder all wearing life vests.,1.0000,A group of people on a large boulder all _____ _____ _____,_____ group of people on _____ large boulder _____ wearing life vests.,_____ _____ _____ _____ _____ _____ _____ _____ _____ wearing life vests.,_____ group _____ _____ _____ _____ _____ boulder _____ _____ life _____,0.2500
610,Three women are out having a drink together.,_____ _____ are out having a drink _____,Three women are _____ _____ a _____ together.,Three women _____ _____ _____ _____ _____ together.,Three _____ are _____ _____ a _____ _____,0.3750,_____ _____ are out _____ _____ _____ _____,Three women _____ _____ having a drink together.,Three women _____ _____ having a drink together.,Three women are out having _____ _____ together.,0.7500,_____ _____ are out having a drink _____,Three women are _____ _____ _____ drink together.,Three women _____ _____ _____ _____ _____ together.,Three _____ are _____ _____ _____ drink _____,0.3750,Three women are out having a drink _____,Three women are out having _____ drink together.,_____ _____ _____ _____ _____ _____ _____ together.,_____ _____ _____ _____ _____ _____ _____ together.,0.1250
